Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																									
Дата голосования: 04.12.2011																																																																									
																																																																									
Наименование Избирательной комиссии:    Территориальная избирательная комиссия №25																																																																									
																																																																									
Сводная таблица результатов выборов																																																																									
																																																																									
		Сумма	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819					
1	"Число избирателей, внесенных в список избирателей"	144768	2559	2250	2960	2990	2394	2641	2511	2917	2871	2427	2693	2418	2981	2377	1973	2451	2396	1676	2214	2691	2059	1914	1900	2929	2346	2181	2322	2265	2160	2046	2031	1988	2122	2212	2731	2711	2025	984	2519	2750	2562	1446	3176	2169	2880	2312	2515	2106	1964	2050	2002	2594	1822	2229	1895	2003	1995	1754	1433	1830	1077	2071	677	1802	1378	441					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	107850	1800	2000	2200	2000	1700	2000	2000	2300	2000	1800	2000	1800	2000	1800	1500	1800	1800	1300	1700	2000	1500	1400	1400	2100	1700	1600	1600	1700	1800	1500	1400	1400	1500	1600	2100	2000	1600	800	1700	2100	2100	1800	2200	1800	2100	1600	2300	1600	1400	1500	1500	1800	1400	1600	1400	1400	1400	1300	1000	1300	600	1600	500	1300	1000	350					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	78144	1479	1247	1611	1388	1311	1480	1319	1745	1551	1309	1415	1060	1537	1169	951	1192	1295	881	1007	1398	1130	1043	1011	1670	1271	1195	1305	1144	1168	1070	986	876	1205	1193	1325	1307	1018	567	1240	1321	1428	1425	1825	1244	1579	1404	1507	1007	1195	1244	1086	1315	1102	1242	1101	1293	1135	1036	749	1038	543	1251	370	723	656	256					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1602	32	22	20	235	20	14	39	35	30	22	11	14	12	21	17	15	14	11	20	19	98	23	10	16	24	20	21	26	12	11	16	15	24	13	35	26	18	11	34	17	40	21	23	9	22	21	29	16	12	32	26	29	25	25	16	10	26	21	24	36	7	11	12	10	6	0					
6	Число погашенных избирательных бюллетеней	28100	289	731	569	377	368	506	642	520	419	469	574	726	451	610	532	593	491	408	673	583	272	334	379	414	405	385	274	530	620	419	398	509	271	394	740	664	564	222	426	762	632	354	352	547	499	175	764	577	193	224	388	456	273	333	283	97	239	243	227	226	50	338	118	567	338	94					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1602	32	22	20	235	20	14	39	35	30	22	11	14	12	21	17	15	14	11	20	19	98	23	10	16	24	20	21	26	12	11	16	15	24	13	35	26	18	11	34	17	40	21	23	9	22	21	29	16	12	32	26	29	25	25	16	10	26	21	24	36	7	11	12	10	6	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	78023	1479	1247	1611	1381	1307	1475	1313	1745	1549	1309	1414	1060	1532	1168	951	1177	1293	881	1007	1392	1130	1043	1011	1660	1267	1195	1305	1144	1168	1070	986	876	1205	1193	1325	1307	1018	567	1235	1321	1427	1425	1802	1244	1566	1404	1504	1007	1195	1244	1086	1311	1102	1242	1101	1293	1135	1034	749	1038	542	1250	370	723	656	256					
9	Число недействительных избирательных бюллетеней	1294	14	67	21	19	26	20	17	44	29	9	26	25	33	18	16	15	23	11	18	47	15	21	19	26	16	38	18	16	31	29	14	10	16	35	20	23	21	2	20	16	9	20	21	23	20	22	22	8	15	13	15	10	22	19	16	26	16	23	12	12	13	16	3	6	7	1					
10	Число действительных избирательных бюллетеней	78331	1497	1202	1610	1597	1301	1469	1335	1736	1550	1322	1399	1049	1511	1171	952	1177	1284	881	1009	1364	1213	1045	1002	1650	1275	1177	1308	1154	1149	1052	988	881	1213	1171	1340	1310	1015	576	1249	1322	1458	1426	1804	1230	1568	1403	1511	1015	1192	1263	1097	1330	1105	1248	1101	1277	1145	1032	761	1062	536	1245	379	727	655	255					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	3433	50	50	50	75	50	50	65	50	50	70	50	60	75	50	45	60	50	45	50	50	45	45	45	50	50	50	45	50	50	45	45	60	45	50	80	66	54	40	53	70	67	50	55	65	50	60	50	45	45	45	45	50	45	60	55	45	60	65	45	45	40	50	40	54	59	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	2798	50	34	50	75	47	50	65	50	45	67	48	60	74	29	45	49	42	20	36	39	30	45	30	28	30	36	26	30	45	16	25	60	45	41	79	66	53	22	51	66	67	44	55	65	24	59	50	40	25	22	16	35	26	48	50	42	54	63	19	26	12	34	18	49	54	2					
