Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																																													
Дата голосования: 04.12.2011																																																																																																													
																																																																																																													
Наименование Избирательной комиссии:    Нальчикская городская																																																																																																													
																																																																																																													
Сводная таблица результатов выборов																																																																																																													
																																																																																																													
		Сумма	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199					
1	"Число избирателей, внесенных в список избирателей"	160536	2302	1450	1476	1396	1272	1100	1254	1565	1394	950	2800	1726	1450	2400	2500	2150	1500	1049	1508	1895	1394	1700	1637	1593	1146	1728	1096	1495	1776	530	1893	1400	2066	1050	1063	2202	1096	1891	896	2052	1609	1294	1394	1822	1523	1730	1970	2741	2497	2658	979	1593	873	1356	1701	1353	1493	2140	911	1360	749	1196	1258	1294	1344	1808	1643	1294	1519	2041	1394	2589	1692	750	1195	1205	1245	946	956	2300	2200	1543	2200	1054	1507	1777	1799	1308	1999	1250	1503	2027	1195	2291	1409	1219	1598	2099	1609	2241	1325	1127					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	160491	2300	1450	1450	1400	1250	1100	1300	1550	1400	950	2800	1726	1450	2400	2500	2150	1500	1050	1500	1900	1400	1700	1620	1600	1150	1710	1100	1500	1750	530	1900	1400	2067	1050	1063	2200	1100	1900	900	2050	1606	1300	1400	1800	1500	1728	1970	2750	2500	2650	1000	1600	873	1350	1700	1350	1500	2150	900	1400	750	1200	1250	1300	1350	1804	1650	1300	1500	2050	1400	2600	1700	750	1200	1200	1250	950	950	2300	2200	1550	2200	1050	1500	1764	1800	1300	2000	1250	1500	2000	1200	2300	1400	1200	1600	2100	1600	2250	1330	1100					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	151678	2285	1174	1414	1324	1194	635	1246	1505	1339	911	2532	1649	1376	2389	2475	2119	1438	1023	1448	1848	1360	1679	1588	1516	1102	1599	1039	1482	1707	44	1883	1357	2015	962	482	2170	1048	1797	857	2047	1580	1279	1354	1792	1463	1661	1938	2576	1230	2633	970	1544	215	1322	1658	1300	1366	2085	860	1338	721	1014	1200	1247	1287	1800	1584	1232	1456	1969	1343	2577	1635	709	1152	1137	1229	883	902	2269	2190	1463	2168	988	1417	1704	1777	1252	1995	1213	1453	1990	1112	2188	1338	1172	1530	2078	1550	2183	1280	1069					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	6247	15	227	17	36	34	456	8	9	11	5	265	27	20	8	20	30	11	16	28	21	8	20	2	30	11	63	14	13	30	486	9	23	29	58	581	30	10	45	8	3	9	15	5	7	11	14	7	163	1267	9	9	5	656	11	41	27	106	55	22	22	11	175	27	17	28	4	18	13	26	57	16	11	56	22	21	34	16	26	9	28	9	30	31	31	36	24	22	24	4	13	15	9	48	29	38	9	7	20	2	15	7	11					
6	Число погашенных избирательных бюллетеней	2565	0	49	19	40	22	9	46	36	50	34	3	50	54	3	5	1	51	11	24	31	32	1	30	54	37	48	47	5	13	0	8	20	22	30	0	0	42	58	35	0	17	6	41	1	26	53	25	11	3	8	21	51	2	17	1	23	28	10	18	40	18	11	23	36	35	0	48	55	18	24	41	12	9	19	27	29	5	41	39	3	1	57	1	31	47	36	1	24	1	24	32	1	40	83	24	19	63	2	48	52	43	20					
7	Число избирательных бюллетеней в переносных ящиках для голосования	6241	15	227	17	36	34	456	8	9	11	5	265	27	20	8	20	30	11	16	28	21	8	20	2	30	11	63	14	13	30	485	9	23	29	58	577	30	10	45	8	3	9	15	5	7	11	14	7	163	1267	9	9	5	655	11	41	27	106	55	22	22	11	175	27	17	28	4	18	13	26	57	16	11	56	22	21	34	16	26	9	28	9	30	31	31	36	24	22	24	4	13	15	9	48	29	38	9	7	20	2	15	7	11					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	151568	2285	1174	1414	1324	1194	635	1246	1505	1339	911	2532	1649	1376	2389	2475	2119	1438	1007	1448	1848	1360	1679	1588	1516	1102	1599	1039	1454	1707	44	1883	1357	2011	962	477	2170	1048	1797	857	2047	1580	1279	1354	1792	1463	1661	1938	2576	1230	2633	970	1544	212	1311	1658	1300	1366	2085	860	1338	721	1004	1200	1247	1287	1800	1584	1232	1456	1969	1343	2577	1635	709	1152	1137	1204	883	902	2269	2190	1463	2160	988	1417	1704	1777	1252	1995	1213	1453	1990	1112	2188	1338	1172	1530	2078	1550	2183	1280	1069					
9	Число недействительных избирательных бюллетеней	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	157776	2300	1401	1431	1360	1228	1091	1254	1514	1350	916	2797	1676	1396	2397	2495	2149	1449	1023	1476	1869	1368	1699	1590	1546	1113	1662	1053	1467	1737	517	1892	1380	2027	1020	1054	2200	1058	1842	865	2050	1589	1294	1359	1799	1474	1675	1945	2739	2497	2642	979	1549	859	1322	1699	1327	1472	2140	882	1360	732	1179	1227	1264	1315	1804	1602	1245	1482	2026	1359	2588	1691	731	1173	1171	1220	909	911	2297	2199	1493	2191	1019	1453	1728	1799	1276	1999	1226	1468	1999	1160	2217	1376	1181	1537	2098	1552	2198	1287	1080					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1104	34	20	20	10	10	10	10	10	10	10	10	10	10	20	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	10	10	10	10	10	20	10	10	10	10	10	10	10	10	10	20	10	10	0	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	20	20	10	10	10	10	10	10	10	10	10	10	10	10	20	10	10	10	10	10	10	10	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	388	1	1	0	1	1	0	2	3	6	1	3	1	0	2	8	3	1	1	4	7	5	3	2	3	5	2	3	4	5	0	5	6	7	2	0	6	6	10	2	2	5	1	1	2	1	4	2	7	0	7	3	7	0	4	4	7	5	4	10	5	1	5	2	6	4	7	0	3	2	10	6	9	10	0	3	5	5	5	1	10	3	4	3	5	9	5	3	6	5	6	10	1	1	10	1	7	3	3	1	2	3	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	259	0	2	0	1	1	94	0	2	8	4	0	0	0	0	2	1	1	4	0	9	0	0	1	2	0	0	0	2	3	3	1	5	7	1	0	0	0	2	5	1	0	3	2	4	0	3	1	0	6	5	1	2	1	4	5	1	0	1	0	3	0	5	0	3	2	0	2	1	1	2	0	0	4	0	5	0	0	3	0	0	0	1	0	0	1	0	6	2	4	0	1	2	3	0	1	0	1	1	1	2	0	1					
14	Число погашенных неиспользованных открепительных удостоверений	716	33	19	20	9	9	10	8	7	4	9	7	9	10	18	2	7	9	9	6	3	5	7	8	7	5	8	7	6	5	0	5	4	3	8	10	4	4	0	8	18	5	9	9	8	9	6	8	3	10	13	7	3	0	6	6	3	5	6	0	5	9	5	8	4	6	3	10	7	8	0	4	1	0	10	7	5	5	5	9	10	17	6	7	5	1	5	7	4	5	4	0	9	9	10	9	3	7	7	9	8	7	10					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	96	4	0	2	1	0	0	0	2	0	0	0	2	0	2	1	3	2	2	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	3	1	1	0	1	0	0	1	1	0	0	3	0	0	2	0	1	0	3	0	0	3	2	2	3	0	0	2	1	0	2	0	0	0	0	0	1	0	3	0	1	3	0	1	1	1	1	2	1	2	1	2	1	1	0	0	1	1	3	0	3	0	4	1	0	1	0	3	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																																													
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	194	0	0	2	0	0	0	1	0	1	1	0	2	2	0	0	0	1	1	2	0	0	0	0	0	1	1	0	0	2	44	0	1	73	1	8	0	1	0	0	0	2	4	0	0	0	0	5	0	0	1	0	0	2	2	0	0	0	0	1	0	3	0	0	1	2	0	1	0	2	0	1	0	0	0	0	0	0	2	1	0	0	1	0	2	1	0	0	2	0	0	1	0	0	3	0	1	1	0	1	2	1	3					
