Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																																													
Дата голосования: 02.12.2007																																																																																																													
																																																																																																													
Наименование Избирательной комиссии:    Нальчикская городская																																																																																																													
																																																																																																													
Сводная таблица результатов выборов																																																																																																													
																																																																																																													
		Сумма	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199					
1	"Число избирателей, внесенных в списки избирателей"	147853	1922	1346	1440	1276	1138	1056	1327	587	1377	896	2688	1648	1362	2532	2518	2065	1596	1045	1551	1947	1351	1742	1630	1637	1141	1620	1100	1350	1914	630	1854	1445	1857	913	960	1940	849	1865	655	1897	1565	1386	1544	1298	1427	1592	1560	2091	1992	2402	998	2576	668	1119	1710	1242	1258	2004	700	1305	735	1346	1100	1257	1248	1816	1294	1225	1450	1650	1326	2300	1500	609	1156	788	1181	951	794	1894	1595	1379	2168	962	1550	1620	1543	1460	1544	1150	1312	1743	1028	2110	1245	1180	803	2546	1119	1692	1621	759					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	145690	1900	1318	1400	1250	1100	1300	1300	550	1350	900	2650	1600	1300	2500	2500	2050	1550	1050	1550	1950	1450	1750	1650	1650	1145	1600	1100	1350	1750	630	1800	1450	1900	850	1100	1950	847	1650	650	1900	1450	1300	1550	1300	1400	1500	1550	2051	2000	2400	1000	2400	850	1100	1700	1200	1150	2000	700	1250	700	1350	1100	1200	1250	1750	1300	1200	1450	1650	1150	2300	1450	599	1100	900	1150	850	750	1900	1600	1350	2050	950	1450	1600	1550	1450	1500	1150	1300	1700	950	2100	1250	1050	800	2550	1100	1700	1600	750					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	130934	1803	1024	1393	1169	1062	953	1224	534	1292	860	2365	1580	1162	2251	2338	1832	1466	917	1426	1652	1315	1629	1487	1507	1038	1397	965	1210	1714	0	1671	1010	1696	743	239	1593	598	1473	613	1805	1399	1091	1494	1171	1387	1404	1535	1861	904	2309	984	2304	659	1068	1564	1171	1071	1777	603	1201	664	1178	987	1084	1162	1658	1206	1122	1341	1522	1106	2265	692	517	1075	751	1086	708	727	1858	1475	1172	1992	823	1387	1530	1462	1319	1495	1119	1253	1569	890	1845	1087	1026	697	2285	1038	1545	1528	725					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	7306	11	291	1	57	36	88	33	6	20	3	285	12	138	7	32	63	54	22	24	197	24	16	13	45	47	86	36	100	31	630	33	342	39	104	658	49	125	45	13	13	13	13	23	37	7	29	15	182	1046	12	14	22	0	16	32	21	56	29	38	26	35	108	40	58	49	67	46	22	52	46	29	26	360	45	24	37	40	72	9	20	8	49	34	52	34	16	47	78	5	16	18	10	58	54	46	11	33	21	15	23	13	20					
6	Число погашенных избирательных бюллетеней	7450	86	3	6	24	2	259	43	10	38	37	0	8	0	242	130	155	30	111	100	101	111	105	150	98	60	117	99	40	5	0	96	98	165	3	203	308	124	132	24	82	38	196	33	92	6	67	0	8	50	79	2	74	191	16	104	8	23	194	59	23	1	64	73	58	39	25	48	56	57	82	15	9	398	37	1	112	24	70	14	22	117	129	24	75	29	54	41	53	0	15	29	121	2	201	117	13	70	244	47	132	59	5					
7	Число избирательных бюллетеней в переносных ящиках для голосования	7306	11	291	1	57	36	88	33	6	20	3	285	12	138	7	32	63	54	22	24	197	24	16	13	45	47	86	36	100	31	630	33	342	39	104	658	49	125	45	13	13	13	13	23	37	7	29	15	182	1046	12	14	22	0	16	32	21	56	29	38	26	35	108	40	58	49	67	46	22	52	46	29	26	360	45	24	37	40	72	9	20	8	49	34	52	34	16	47	78	5	16	18	10	58	54	46	11	33	21	15	23	13	20					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	130861	1803	1024	1393	1169	1062	953	1224	533	1292	860	2365	1580	1162	2251	2306	1832	1466	917	1426	1652	1315	1629	1487	1507	1038	1397	965	1210	1714	0	1671	1010	1696	743	239	1593	598	1473	613	1805	1399	1091	1494	1171	1387	1404	1535	1861	904	2307	984	2301	659	1068	1564	1171	1071	1777	603	1201	664	1178	987	1084	1162	1658	1206	1122	1341	1522	1106	2265	692	517	1075	751	1086	708	727	1858	1475	1172	1958	823	1387	1530	1462	1319	1494	1119	1253	1569	890	1845	1087	1026	697	2285	1038	1545	1528	725					
9	Число недействительных избирательных бюллетеней	253	3	0	5	0	0	1	0	7	0	0	0	0	0	0	40	0	4	0	0	0	1	0	0	0	6	0	3	0	1	4	1	0	5	0	6	0	0	0	0	2	0	8	0	17	0	9	0	0	8	5	0	0	3	4	0	0	2	8	1	0	0	9	0	0	0	0	0	2	0	0	0	0	16	6	0	0	0	5	0	0	10	0	3	4	11	3	0	4	0	0	4	0	2	8	0	2	0	2	0	3	3	2					
10	Число действительных избирательных бюллетеней	137914	1811	1315	1389	1226	1098	1040	1257	532	1312	863	2650	1592	1300	2258	2298	1895	1516	939	1450	1849	1338	1645	1500	1552	1079	1483	998	1310	1744	626	1703	1352	1730	847	891	1642	723	1518	626	1816	1412	1096	1517	1191	1394	1424	1550	2043	1942	2314	998	2323	656	1080	1596	1192	1125	1798	640	1227	699	1277	1027	1142	1211	1725	1252	1142	1393	1568	1135	2291	1036	556	1099	788	1126	775	736	1878	1473	1221	1989	871	1410	1543	1509	1393	1499	1135	1267	1579	946	1891	1133	1035	730	2304	1053	1565	1538	743					
