Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																							
Дата голосования: 07.12.2003 0:00:00																																							
																																							
Наименование Избирательной комиссии:    Клетская																																							
																																							
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																							
																																							
		Сумма	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993					
1	"Число избирателей, внесенных в списки"	14240	2027	2033	175	379	881	105	654	80	84	817	166	121	684	263	147	83	165	785	83	152	99	679	196	115	1055	480	304	279	146	665	197	141					
2	"Число бюллетеней, полученных участковыми комиссиями"	14358	2051	2110	177	383	882	109	670	84	91	812	159	119	706	274	150	89	174	651	86	159	103	663	187	112	1048	482	329	290	146	711	206	145					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	7339	947	907	116	144	455	63	366	51	42	416	139	81	371	174	96	38	111	367	67	109	45	313	101	45	450	297	221	165	105	350	113	74					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	401	63	33	3	13	59	0	35	0	0	0	0	0	23	0	2	0	0	52	0	0	12	10	0	0	51	0	0	0	0	30	9	6					
6	Число погашенных бюллетеней	6617	1041	1170	58	226	368	46	269	33	49	396	20	38	312	100	52	51	63	231	19	50	46	340	86	67	547	185	108	125	41	331	84	65					
7	Число бюллетеней в переносных ящиках для голосования	401	63	33	3	13	59	0	35	0	0	0	0	0	23	0	2	0	0	52	0	0	12	10	0	0	51	0	0	0	0	30	9	6					
8	Число бюллетеней в стационарных ящиках для голосования	7338	947	907	116	144	455	63	366	51	42	416	139	81	371	174	96	38	111	366	67	109	45	313	101	45	450	297	221	165	105	350	113	74					
9	Число недействительных бюллетеней	149	15	13	3	3	12	4	8	0	0	4	1	1	12	4	2	0	0	8	0	0	0	7	2	0	7	8	12	4	6	10	1	2					
10	Число действительных бюллетеней	7590	995	927	116	154	502	59	393	51	42	412	138	80	382	170	96	38	111	410	67	109	57	316	99	45	494	289	209	161	99	370	121	78					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	286	31	35	4	6	16	4	12	4	4	15	4	4	15	4	4	4	4	15	4	4	4	10	4	4	20	10	8	5	5	15	4	4					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	62	19	13	2	0	4	0	2	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	5	2	3	1	0	8	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	36	5	0	1	2	2	1	0	1	0	0	1	0	1	1	1	0	0	2	1	3	1	1	3	1	2	1	0	2	1	0	1	1					
14	Число погашенных открепительных удостоверений	224	12	22	2	6	12	4	10	4	4	15	4	4	13	4	4	4	4	15	4	3	4	10	4	4	15	8	5	4	5	7	4	4					
15	Число открепительных удостоверений выданных ТИК	11	2	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0					
16	Число утраченных бюллетеней	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																							
18	"1. ""ЕДИНЕНИЕ"""	92	2	7	2	2	3	1	6	0	0	2	6	6	2	6	3	3	0	8	0	7	0	1	3	0	6	5	3	2	0	3	1	2					
		1.18%	0.19%	0.74%	1.68%	1.27%	0.58%	1.58%	1.49%	0.0%	0.0%	0.48%	4.31%	7.40%	0.50%	3.44%	3.06%	7.89%	0.0%	1.91%	0.0%	6.42%	0.0%	0.30%	2.97%	0.0%	1.19%	1.68%	1.35%	1.21%	0.0%	0.78%	0.81%	2.5%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	126	21	13	2	4	4	2	10	0	1	4	1	0	7	3	3	1	1	8	2	0	1	2	3	1	6	9	3	2	3	5	2	2					
		1.62%	2.07%	1.38%	1.68%	2.54%	0.77%	3.17%	2.49%	0.0%	2.38%	0.96%	0.71%	0.0%	1.77%	1.72%	3.06%	2.63%	0.90%	1.91%	2.98%	0.0%	1.75%	0.61%	2.97%	2.22%	1.19%	3.03%	1.35%	1.21%	2.85%	1.31%	1.63%	2.5%					
