Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																	
Дата голосования: 04.12.2011																	
																	
Наименование Избирательной комиссии:    Поназыревская																	
																	
Сводная таблица результатов выборов																	
																	
		Сумма	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538					
1	"Число избирателей, внесенных в список избирателей"	6257	261	172	69	786	1347	1244	165	1278	469	466					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	6397	265	178	70	802	1350	1280	170	1320	486	476					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	2999	101	96	49	402	722	617	70	506	207	229					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	833	84	18	14	72	120	101	55	159	131	79					
6	Число погашенных избирательных бюллетеней	2565	80	64	7	328	508	562	45	655	148	168					
7	Число избирательных бюллетеней в переносных ящиках для голосования	833	84	18	14	72	120	101	55	159	131	79					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	2999	101	96	49	402	722	617	70	506	207	229					
9	Число недействительных избирательных бюллетеней	46	3	1	1	8	13	10	0	3	5	2					
10	Число действительных избирательных бюллетеней	3786	182	113	62	466	829	708	125	662	333	306					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	114	4	4	1	16	18	22	7	20	10	12					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	114	4	4	1	16	18	22	7	20	10	12					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	44	1	3	1	4	14	5	4	6	1	5					
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	16	0	2	0	3	4	3	2	0	2	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0					
																	
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	478	18	10	1	69	112	80	7	119	34	28					
		12.47%	9.73%	8.77%	1.59%	14.56%	13.30%	11.14%	5.60%	17.89%	10.06%	9.09%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	751	46	30	9	91	167	138	28	120	70	52					
		19.60%	24.86%	26.32%	14.29%	19.20%	19.83%	19.22%	22.40%	18.05%	20.71%	16.88%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	34	0	1	1	3	6	6	1	9	3	4					
		0.89%	0.00%	0.88%	1.59%	0.63%	0.71%	0.84%	0.80%	1.35%	0.89%	1.30%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1111	46	20	14	177	281	249	34	124	75	91					
		28.99%	24.86%	17.54%	22.22%	37.34%	33.37%	34.68%	27.20%	18.65%	22.19%	29.55%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	72	1	2	0	12	21	17	0	15	1	3					
		1.88%	0.54%	1.75%	0.00%	2.53%	2.49%	2.37%	0.00%	2.26%	0.30%	0.97%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1322	71	47	37	114	237	215	55	271	147	128					
		34.50%	38.38%	41.23%	58.73%	24.05%	28.15%	29.94%	44.00%	40.75%	43.49%	41.56%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	18	0	3	0	0	5	3	0	4	3	0					
		0.47%	0.00%	2.63%	0.00%	0.00%	0.59%	0.42%	0.00%	0.60%	0.89%	0.00%					
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
