Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																		
Дата голосования: 02.12.2007																		
																		
Наименование Избирательной комиссии:    Поназыревская																		
																		
Сводная таблица результатов выборов																		
																		
		Сумма	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543					
1	"Число избирателей, внесенных в списки избирателей"	6760	1341	1399	66	1449	543	588	261	723	172	128	90					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	6796	1317	1398	67	1485	564	575	275	720	172	130	93					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	3941	796	757	53	772	338	394	142	408	130	85	66					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	911	123	124	7	228	93	92	84	81	34	30	15					
6	Число погашенных избирательных бюллетеней	1944	398	517	7	485	133	89	49	231	8	15	12					
7	Число избирательных бюллетеней в переносных ящиках для голосования	911	123	124	7	228	93	92	84	81	34	30	15					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	3941	796	757	53	772	338	394	142	408	130	85	66					
9	Число недействительных избирательных бюллетеней	26	8	6	0	1	3	1	0	3	3	0	1					
10	Число действительных избирательных бюллетеней	4826	911	875	60	999	428	485	226	486	161	115	80					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	120	5	4	6	27	25	25	16	2	5	2	3					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	120	5	4	6	27	25	25	16	2	5	2	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	32	9	4	3	5	2	0	1	3	0	3	2					
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	5	1	3	0	0	0	0	0	1	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0					
																		
18	1.Политическая партия «Аграрная партия России»	181	48	24	1	37	7	7	12	30	8	5	2					
		3.73%	5.22%	2.72%	1.67%	3.70%	1.62%	1.44%	5.31%	6.13%	4.88%	4.35%	2.47%					
19	2.Всероссийская политическая партия «Гражданская Сила»	9	1	4	0	2	0	0	0	0	2	0	0					
		0.19%	0.11%	0.45%	0.00%	0.20%	0.00%	0.00%	0.00%	0.00%	1.22%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	6	0	0	0	4	0	0	0	0	1	1	0					
		0.12%	0.00%	0.00%	0.00%	0.40%	0.00%	0.00%	0.00%	0.00%	0.61%	0.87%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	644	158	121	8	116	42	41	41	75	14	17	11					
		13.27%	17.19%	13.73%	13.33%	11.60%	9.74%	8.44%	18.14%	15.34%	8.54%	14.78%	13.58%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	21	2	0	1	7	8	2	1	0	0	0	0					
		0.43%	0.22%	0.00%	1.67%	0.70%	1.86%	0.41%	0.44%	0.00%	0.00%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	8	1	3	0	2	1	0	1	0	0	0	0					
		0.16%	0.11%	0.34%	0.00%	0.20%	0.23%	0.00%	0.44%	0.00%	0.00%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	576	126	124	9	83	46	30	29	80	17	20	12					
		11.87%	13.71%	14.07%	15.00%	8.30%	10.67%	6.17%	12.83%	16.36%	10.37%	17.39%	14.81%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	413	104	89	2	76	32	23	15	55	8	8	1					
		8.51%	11.32%	10.10%	3.33%	7.60%	7.42%	4.73%	6.64%	11.25%	4.88%	6.96%	1.23%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	16	4	2	2	0	2	2	2	1	0	1	0					
		0.33%	0.44%	0.23%	3.33%	0.00%	0.46%	0.41%	0.88%	0.20%	0.00%	0.87%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	2923	459	504	36	671	289	378	125	236	109	62	54					
		60.24%	49.95%	57.21%	60.00%	67.10%	67.05%	77.78%	55.31%	48.26%	66.46%	53.91%	66.67%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	29	8	4	1	1	1	2	0	9	2	1	0					
		0.60%	0.87%	0.45%	1.67%	0.10%	0.23%	0.41%	0.00%	1.84%	1.22%	0.87%	0.00%					
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
