Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																							
Дата голосования: 18.09.2016																																																																							
																																																																							
"Наименование Избирательной комиссии:    Красноярск, Октябрьская"																																																																							
																																																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																																																							
																																																																							
		Сумма	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №2296	УИК №2297	УИК №2319	УИК №2320	УИК №2323	УИК №2329	УИК №2330	УИК №2331	УИК №2332	УИК №2333									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	123368	562	2185	2363	2810	2272	3327	2476	2313	2494	1906	2282	2383	2803	2649	2112	2070	1356	1637	2307	2592	2344	2323	1982	1980	2088	2429	2074	2195	2350	2760	2286	2429	2304	1999	2053	2093	1728	1972	2331	1488	2070	662	1133	2308	2278	2680	1858	2031	2097	343	1704	1782	2516	2228	2591	1951	2274	1094	955	706									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	114200	500	2100	1800	2100	2200	2100	2300	2200	2400	1800	2200	2300	2100	2500	2100	2000	1300	1600	2200	2000	2200	2200	1900	1900	1900	2400	2000	2100	2300	2000	2200	2400	2200	1900	2000	2000	1700	1900	2200	1400	2000	600	1000	2300	2200	2100	1800	2000	2000	1000	1600	1600	2300	2100	2400	1900	2200	1100	900	500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	38911	140	694	574	856	669	459	679	633	810	627	761	853	857	755	740	681	466	641	998	977	669	746	561	710	583	882	662	687	680	883	777	980	791	629	703	757	575	687	768	352	468	132	180	757	884	807	658	743	760	121	526	423	607	732	865	641	681	426	302	246									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1254	2	9	2	11	7	1	13	7	4	8	11	9	12	30	10	17	12	1	6	10	23	11	9	8	227	20	9	9	11	22	14	18	18	20	12	21	10	6	60	2	18	1	11	11	8	8	7	10	9	208	166	1	9	40	12	10	2	4	6	1									
6	Число погашенных избирательных бюллетеней	74035	358	1397	1224	1233	1524	1640	1608	1560	1586	1165	1428	1438	1231	1715	1350	1302	822	958	1196	1013	1508	1443	1330	1182	1090	1498	1329	1404	1609	1095	1409	1402	1391	1251	1285	1222	1115	1207	1372	1046	1514	467	809	1532	1308	1285	1135	1247	1231	671	908	1176	1684	1328	1523	1249	1517	670	592	253									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1253	2	9	2	11	7	1	13	7	4	8	11	9	12	30	10	17	12	1	6	10	23	11	9	8	227	20	9	9	11	22	14	18	18	20	12	21	10	6	60	2	18	1	11	11	8	8	7	10	9	208	165	1	9	40	12	10	2	4	6	1									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	38834	140	694	573	855	669	459	664	631	809	627	761	851	857	755	738	681	465	641	995	976	669	745	559	708	580	878	662	687	671	881	777	976	791	628	703	757	575	687	765	352	466	132	180	756	882	807	657	742	757	121	525	423	604	732	865	641	679	426	302	245									
9	Число недействительных избирательных бюллетеней	1092	4	16	10	20	22	13	18	14	19	12	10	24	16	14	10	24	12	15	19	22	20	22	19	15	32	35	27	13	26	28	27	28	20	18	28	27	22	30	16	10	23	1	9	16	24	14	16	24	22	11	19	13	12	20	17	21	25	12	8	8									
10	Число действительных избирательных бюллетеней	38995	138	687	565	846	654	447	659	624	794	623	762	836	853	771	738	674	465	627	982	964	672	734	549	701	775	863	644	683	656	875	764	966	789	630	687	751	563	663	809	344	461	132	182	751	866	801	648	728	744	318	671	411	601	752	860	630	656	418	300	238									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2950	30	50	50	100	30	100	50	50	30	30	60	60	50	50	60	60	60	50	50	50	50	50	50	50	50	50	50	50	50	50	50	30	30	30	50	50	50	50	50	30	30	30	30	50	50	200	50	50	50	0	50	30	50	50	50	50	50	30	30	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	782	6	18	19	32	14	3	11	15	8	15	15	15	17	13	9	19	11	7	8	10	11	12	13	22	14	20	6	14	17	16	15	17	8	15	17	11	14	14	20	1	13	9	4	14	11	30	13	21	9	0	11	12	15	12	17	17	16	5	10	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	745	9	8	30	25	5	37	40	2	9	7	4	0	28	12	5	8	13	4	8	50	16	6	5	12	12	24	6	8	11	0	8	4	5	16	5	15	12	16	4	1	5	3	8	3	11	7	31	9	7	33	9	7	13	17	25	2	11	3	4	47									
14	Число погашенных неиспользованных открепительных удостоверений	2168	24	32	31	68	16	97	39	35	22	15	45	45	33	37	51	41	49	43	42	40	39	38	37	28	36	30	44	36	33	34	35	13	22	15	33	39	36	36	30	29	17	21	26	36	39	170	37	29	41	0	39	18	35	38	33	33	34	25	20	29									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	96	0	4	1	1	2	1	2	2	2	0	2	2	1	2	2	1	0	2	2	0	0	4	3	5	1	2	2	1	3	5	1	1	2	0	2	1	1	2	1	1	1	0	1	2	0	1	2	1	1	0	3	1	6	5	0	1	1	0	2	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																							
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	1156	2	23	24	39	16	22	24	8	11	17	19	18	29	18	25	6	26	34	39	39	41	13	15	30	16	23	11	16	13	27	23	16	20	16	16	20	9	13	17	13	14	6	6	16	24	21	19	24	21	3	24	8	27	21	24	29	20	13	14	15									
		2.88%	1.41%	3.27%	4.17%	4.50%	2.37%	4.78%	3.55%	1.25%	1.35%	2.68%	2.46%	2.09%	3.34%	2.29%	3.34%	0.86%	5.45%	5.30%	3.90%	3.96%	5.92%	1.72%	2.64%	4.19%	1.98%	2.56%	1.64%	2.30%	1.91%	2.99%	2.91%	1.61%	2.47%	2.47%	2.24%	2.57%	1.54%	1.88%	2.06%	3.67%	2.89%	4.51%	3.14%	2.09%	2.70%	2.58%	2.86%	3.19%	2.74%	0.91%	3.48%	1.89%	4.40%	2.72%	2.74%	4.45%	2.94%	3.02%	4.55%	6.10%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	1083	3	13	19	26	24	8	19	20	18	21	28	23	14	15	22	21	15	17	21	33	16	27	8	15	18	20	20	18	17	38	22	20	20	18	17	20	18	24	26	8	15	5	1	16	21	18	19	14	20	14	11	15	19	22	32	27	20	9	10	5									
		2.70%	2.11%	1.85%	3.30%	3.00%	3.55%	1.74%	2.81%	3.13%	2.21%	3.31%	3.63%	2.67%	1.61%	1.91%	2.94%	3.01%	3.14%	2.65%	2.10%	3.35%	2.31%	3.57%	1.41%	2.09%	2.23%	2.23%	2.98%	2.59%	2.49%	4.21%	2.78%	2.01%	2.47%	2.78%	2.38%	2.57%	3.08%	3.46%	3.15%	2.26%	3.10%	3.76%	0.52%	2.09%	2.36%	2.21%	2.86%	1.86%	2.61%	4.26%	1.59%	3.54%	3.10%	2.85%	3.65%	4.15%	2.94%	2.09%	3.25%	2.03%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	749	1	11	16	13	8	7	7	7	18	10	19	21	13	17	9	14	6	16	15	14	13	16	16	12	24	12	17	17	14	20	20	21	28	17	11	17	8	14	11	7	7	4	1	18	15	9	14	13	11	7	19	5	5	20	12	11	9	5	7	0									
		1.87%	0.70%	1.56%	2.78%	1.50%	1.18%	1.52%	1.03%	1.10%	2.21%	1.57%	2.46%	2.44%	1.50%	2.17%	1.20%	2.01%	1.26%	2.49%	1.50%	1.42%	1.88%	2.12%	2.82%	1.68%	2.97%	1.34%	2.53%	2.44%	2.05%	2.21%	2.53%	2.11%	3.46%	2.62%	1.54%	2.19%	1.37%	2.02%	1.33%	1.98%	1.45%	3.01%	0.52%	2.35%	1.69%	1.10%	2.11%	1.73%	1.44%	2.13%	2.75%	1.18%	0.82%	2.59%	1.37%	1.69%	1.32%	1.16%	2.27%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	13436	56	268	173	279	252	193	238	206	249	198	237	266	277	266	248	241	163	170	256	369	230	277	188	242	328	321	248	221	244	280	259	344	269	205	241	315	198	246	284	118	178	44	74	239	304	289	211	298	227	130	225	137	208	209	265	201	206	135	96	97									
		33.52%	39.44%	38.12%	30.09%	32.22%	37.28%	41.96%	35.16%	32.29%	30.63%	31.18%	30.70%	30.93%	31.88%	33.89%	33.16%	34.53%	34.17%	26.48%	25.57%	37.42%	33.24%	36.64%	33.10%	33.80%	40.64%	35.75%	36.96%	31.75%	35.78%	31.01%	32.74%	34.61%	33.25%	31.64%	33.71%	40.49%	33.85%	35.50%	34.42%	33.33%	36.78%	33.08%	38.74%	31.16%	34.16%	35.46%	31.78%	39.63%	29.63%	39.51%	32.61%	32.31%	33.93%	27.07%	30.22%	30.88%	30.25%	31.40%	31.17%	39.43%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	871	4	21	26	29	11	15	20	19	24	11	14	19	22	11	15	12	13	19	38	19	14	13	12	16	6	18	13	10	6	16	16	18	10	6	12	14	16	8	20	6	6	6	2	14	19	37	12	15	15	1	15	12	18	21	26	7	15	4	11	3									
		2.17%	2.82%	2.99%	4.52%	3.35%	1.63%	3.26%	2.95%	2.98%	2.95%	1.73%	1.81%	2.21%	2.53%	1.40%	2.01%	1.72%	2.73%	2.96%	3.80%	1.93%	2.02%	1.72%	2.11%	2.23%	0.74%	2.00%	1.94%	1.44%	0.88%	1.77%	2.02%	1.81%	1.24%	0.93%	1.68%	1.80%	2.74%	1.15%	2.42%	1.69%	1.24%	4.51%	1.05%	1.83%	2.13%	4.54%	1.81%	1.99%	1.96%	0.30%	2.17%	2.83%	2.94%	2.72%	2.96%	1.08%	2.20%	0.93%	3.57%	1.22%									
24	"6. Политическая партия ""Гражданская Платформа"""	147	0	1	7	3	4	3	2	3	4	2	5	4	3	1	1	1	2	6	8	3	1	2	1	0	2	2	2	3	0	5	4	3	0	0	1	1	2	3	2	1	7	0	0	3	2	2	0	0	6	0	5	0	2	7	6	5	2	0	2	0									
		0.37%	0.00%	0.14%	1.22%	0.35%	0.59%	0.65%	0.30%	0.47%	0.49%	0.31%	0.65%	0.47%	0.35%	0.13%	0.13%	0.14%	0.42%	0.93%	0.80%	0.30%	0.14%	0.26%	0.18%	0.00%	0.25%	0.22%	0.30%	0.43%	0.00%	0.55%	0.51%	0.30%	0.00%	0.00%	0.14%	0.13%	0.34%	0.43%	0.24%	0.28%	1.45%	0.00%	0.00%	0.39%	0.22%	0.25%	0.00%	0.00%	0.78%	0.00%	0.72%	0.00%	0.33%	0.91%	0.68%	0.77%	0.29%	0.00%	0.65%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	5560	17	143	83	120	112	62	83	101	105	97	101	122	118	120	112	79	60	59	78	122	105	100	69	85	104	149	96	102	89	116	110	134	137	99	94	102	80	103	157	50	73	17	33	127	106	104	108	104	99	61	57	67	82	108	115	88	106	61	35	34									
