Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																									
Дата голосования: 04.12.2011																																									
																																									
Наименование Избирательной комиссии:    Октябрьская																																									
																																									
Сводная таблица результатов выборов																																									
																																									
		Сумма	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484					
1	"Число избирателей, внесенных в список избирателей"	16596	506	116	207	174	342	186	83	524	2081	131	121	525	129	252	45	164	424	161	124	420	136	238	206	1082	134	308	883	490	901	1499	1213	953	59	1779					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	15360	500	120	210	170	330	190	80	535	2000	130	120	500	125	260	40	160	400	180	120	400	125	250	200	1000	130	280	850	400	800	1300	1000	850	55	1550					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	9642	276	60	162	142	227	131	61	282	1046	82	91	307	96	180	33	92	282	93	113	212	85	135	180	538	80	190	583	243	353	757	585	519	27	1399					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	723	37	5	10	5	20	10	4	28	44	5	7	13	0	8	5	11	11	9	0	51	17	11	10	32	2	12	1	24	31	39	117	23	6	115					
6	Число погашенных избирательных бюллетеней	4995	187	55	38	23	83	49	15	225	910	43	22	180	29	72	2	57	107	78	7	137	23	104	10	430	48	78	266	133	416	504	298	308	22	36					
7	Число избирательных бюллетеней в переносных ящиках для голосования	723	37	5	10	5	20	10	4	28	44	5	7	13	0	8	5	11	11	9	0	51	17	11	10	32	2	12	1	24	31	39	117	23	6	115					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	9640	276	60	162	142	227	131	61	282	1046	82	91	307	96	180	33	92	282	93	113	212	85	135	180	538	80	190	583	243	353	757	585	519	27	1397					
9	Число недействительных избирательных бюллетеней	139	6	1	1	1	1	0	0	3	5	0	4	3	0	2	0	1	2	3	0	6	0	3	1	8	2	5	5	9	7	13	10	7	0	30					
10	Число действительных избирательных бюллетеней	10224	307	64	171	146	246	141	65	307	1085	87	94	317	96	186	38	102	291	99	113	257	102	143	189	562	80	197	579	258	377	783	692	535	33	1482					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	285	15	1	4	1	3	3	1	5	43	2	2	5	1	10	3	2	10	2	5	8	2	12	2	13	1	2	15	5	12	15	15	20	5	40					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	211	9	1	4	0	0	0	0	4	43	1	0	2	0	8	2	1	5	2	0	5	0	12	2	12	0	0	13	5	7	14	13	12	5	29					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	147	1	1	1	6	2	2	2	0	25	1	1	3	1	6	2	1	20	1	2	12	9	1	1	5	1	2	7	3	3	8	7	1	4	5					
14	Число погашенных неиспользованных открепительных удостоверений	74	6	0	0	1	3	3	1	1	0	1	2	3	1	2	1	1	5	0	5	3	2	0	0	1	1	2	2	0	5	1	2	8	0	11					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	10	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	4	0	2	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																									
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	727	11	2	11	7	14	4	5	37	106	4	3	21	8	5	1	5	22	8	8	10	4	12	8	32	5	24	34	21	39	70	62	59	1	64					
		7.02%	3.51%	3.08%	6.40%	4.76%	5.67%	2.84%	7.69%	11.94%	9.72%	4.60%	3.06%	6.56%	8.33%	2.66%	2.63%	4.85%	7.51%	7.84%	7.08%	3.80%	3.92%	8.22%	4.21%	5.61%	6.10%	11.88%	5.82%	7.87%	10.16%	8.79%	8.83%	10.89%	3.03%	4.23%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1939	60	6	17	9	35	11	1	46	196	7	18	74	16	26	3	9	49	18	30	25	28	41	52	137	8	46	129	42	61	180	121	125	3	310					
		18.71%	19.17%	9.23%	9.88%	6.12%	14.17%	7.80%	1.54%	14.84%	17.98%	8.05%	18.37%	23.13%	16.67%	13.83%	7.89%	8.74%	16.72%	17.65%	26.55%	9.51%	27.45%	28.08%	27.37%	24.04%	9.76%	22.77%	22.09%	15.73%	15.89%	22.61%	17.24%	23.06%	9.09%	20.50%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	130	4	0	0	1	2	3	0	4	26	1	1	5	0	1	0	0	2	0	1	4	0	3	3	7	0	3	13	5	5	11	9	6	1	9					
		1.25%	1.28%	0.00%	0.00%	0.68%	0.81%	2.13%	0.00%	1.29%	2.39%	1.15%	1.02%	1.56%	0.00%	0.53%	0.00%	0.00%	0.68%	0.00%	0.88%	1.52%	0.00%	2.05%	1.58%	1.23%	0.00%	1.49%	2.23%	1.87%	1.30%	1.38%	1.28%	1.11%	3.03%	0.60%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1528	35	11	11	32	28	13	4	73	165	12	8	64	13	21	12	14	43	28	25	57	11	19	14	122	3	28	69	32	70	140	151	105	7	88					
		14.74%	11.18%	16.92%	6.40%	21.77%	11.34%	9.22%	6.15%	23.55%	15.14%	13.79%	8.16%	20.00%	13.54%	11.17%	31.58%	13.59%	14.68%	27.45%	22.12%	21.67%	10.78%	13.01%	7.37%	21.40%	3.66%	13.86%	11.82%	11.99%	18.23%	17.59%	21.51%	19.37%	21.21%	5.82%					
