Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																	
Дата голосования: 02.12.2007																	
																	
Наименование Избирательной комиссии:    Северо-Енисейская																	
																	
Сводная таблица результатов выборов																	
																	
		Сумма	УИК №1879	УИК №1880	УИК №1881	УИК №1882	УИК №1883	УИК №1884	УИК №1885	УИК №1886	УИК №1887	УИК №1888					
1	"Число избирателей, внесенных в списки избирателей"	7797	1670	1648	1221	1029	459	857	315	438	58	102					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	6935	1300	1300	1020	1000	470	900	315	460	65	105					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	51	0	0	0	0	0	0	35	0	0	16					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	6096	1233	1201	874	811	420	851	258	319	50	79					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	377	48	50	78	88	30	1	12	57	8	5					
6	Число погашенных избирательных бюллетеней	411	19	49	68	101	20	48	10	84	7	5					
7	Число избирательных бюллетеней в переносных ящиках для голосования	428	48	50	78	88	30	1	47	57	8	21					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	6096	1233	1201	874	811	420	851	258	319	50	79					
9	Число недействительных избирательных бюллетеней	108	16	17	12	11	13	18	4	8	0	9					
10	Число действительных избирательных бюллетеней	6416	1265	1234	940	888	437	834	301	368	58	91					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	115	16	15	17	19	10	5	13	10	5	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	115	16	15	17	19	10	5	13	10	5	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	227	24	9	9	2	17	160	2	3	1	0					
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	35	6	8	13	4	1	0	0	2	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0					
																	
18	1.Политическая партия «Аграрная партия России»	104	23	14	26	11	6	12	7	2	1	2					
		1.59%	1.80%	1.12%	2.73%	1.22%	1.33%	1.41%	2.30%	0.53%	1.72%	2.00%					
19	2.Всероссийская политическая партия «Гражданская Сила»	41	11	5	9	7	2	3	1	2	0	1					
		0.63%	0.86%	0.40%	0.95%	0.78%	0.44%	0.35%	0.33%	0.53%	0.00%	1.00%					
20	3.Политическая партия «Демократическая партия России»	11	1	4	2	3	0	0	0	0	1	0					
		0.17%	0.08%	0.32%	0.21%	0.33%	0.00%	0.00%	0.00%	0.00%	1.72%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	434	92	97	72	59	32	52	5	12	6	7					
		6.65%	7.18%	7.75%	7.56%	6.56%	7.11%	6.10%	1.64%	3.19%	10.34%	7.00%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	28	10	7	6	1	1	3	0	0	0	0					
		0.43%	0.78%	0.56%	0.63%	0.11%	0.22%	0.35%	0.00%	0.00%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	17	5	1	3	3	2	2	0	1	0	0					
		0.26%	0.39%	0.08%	0.32%	0.33%	0.44%	0.23%	0.00%	0.27%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	901	170	213	143	93	75	123	37	36	2	9					
		13.81%	13.27%	17.03%	15.02%	10.34%	16.67%	14.44%	12.13%	9.57%	3.45%	9.00%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	435	90	88	57	61	39	42	26	22	4	6					
		6.67%	7.03%	7.03%	5.99%	6.79%	8.67%	4.93%	8.52%	5.85%	6.90%	6.00%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	63	22	3	6	11	2	13	1	2	2	1					
		0.97%	1.72%	0.24%	0.63%	1.22%	0.44%	1.53%	0.33%	0.53%	3.45%	1.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	4334	830	795	611	631	270	577	224	290	41	65					
		66.43%	64.79%	63.55%	64.18%	70.19%	60.00%	67.72%	73.44%	77.13%	70.69%	65.00%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	48	11	7	5	8	8	7	0	1	1	0					
		0.74%	0.86%	0.56%	0.53%	0.89%	1.78%	0.82%	0.00%	0.27%	1.72%	0.00%					
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
