Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																														
Дата голосования: 02.12.2007																																																																																														
																																																																																														
Наименование Избирательной комиссии:    Петропавловск-Камчатская городская																																																																																														
																																																																																														
Сводная таблица результатов выборов																																																																																														
																																																																																														
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87					
1	"Число избирателей, внесенных в списки избирателей"	148039	2175	2095	2260	1895	2003	2225	1256	2238	2575	2887	2485	2215	2092	1943	1344	1678	2336	2326	2366	1990	1024	1111	2468	1071	1435	2595	142	649	655	2172	2528	2396	2727	2436	1826	2653	119	2728	2732	2835	2378	2387	2451	2264	1690	2314	2034	2120	2654	2501	2214	2324	2371	2033	1102	1781	1686	1912	1671	2688	2368	1865	2280	2226	2647	2137	2549	2764	1736	1640	1181	292	68	179	100	67	76	112	120	144	190	218	569	338	463	239	210					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	145040	2109	1997	2195	1625	2026	1900	1249	1956	2220	2856	2512	2359	1939	1996	1355	1666	1925	2562	2405	1986	953	1068	2323	1045	1308	2067	150	658	660	2000	2042	1920	2555	2457	1844	2683	125	2691	2677	2865	2410	2420	2500	2280	1503	2351	2273	2121	2613	2713	2000	2330	2330	2043	1101	1823	1655	1893	1806	2702	2550	1890	2380	2242	2550	2123	2564	2584	1753	1659	1120	350	90	200	200	70	80	150	100	150	260	200	556	571	411	234	207					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	156	0	0	0	0	0	0	0	0	76	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	77384	1330	1246	933	953	1065	1164	509	1120	1289	1562	1212	1259	899	931	569	920	1237	1240	1094	869	442	518	1296	618	651	1319	132	319	366	1165	1381	1364	1344	1280	994	1402	114	1368	1427	1380	1250	1290	1437	1237	798	1232	1074	1007	1230	1287	1182	1206	1054	1029	523	1084	970	1028	941	1492	1241	1060	1279	1234	1148	1135	1363	1319	845	821	591	282	66	179	100	64	76	99	88	125	178	179	334	336	280	150	180					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1399	4	28	192	16	13	20	16	22	6	16	25	40	11	17	8	13	7	11	22	16	7	5	25	7	24	16	0	9	3	14	19	25	14	8	12	16	0	20	13	25	13	16	4	8	27	18	26	30	20	19	22	16	17	15	7	13	12	10	5	14	16	31	47	13	17	22	13	17	18	10	88	0	0	0	0	0	0	0	0	0	9	19	0	2	0	0	0					
6	Число погашенных избирательных бюллетеней	66101	775	723	1070	656	948	716	724	814	849	1278	1275	1058	1029	1048	778	733	681	1311	1289	1101	504	545	1002	420	633	732	18	330	291	821	642	531	1197	1169	838	1265	11	1303	1237	1460	1147	1114	1059	1035	678	1101	1173	1084	1363	1407	796	1108	1259	999	571	726	673	855	860	1196	1234	799	1054	995	1366	966	1188	1248	890	828	441	68	24	21	100	6	4	51	12	25	73	2	222	233	131	84	27					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1553	4	28	192	16	13	20	16	22	82	16	25	40	11	17	8	13	7	11	22	16	7	5	25	7	24	16	0	9	3	14	19	25	14	8	12	16	0	20	13	25	13	16	4	8	27	18	26	30	20	19	22	16	17	15	7	13	12	10	5	14	75	31	47	13	36	22	13	17	18	10	88	0	0	0	0	0	0	0	0	0	9	19	0	2	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	77191	1328	1246	933	940	1063	1161	509	1120	1284	1558	1212	1257	897	925	567	915	1228	1237	1094	868	442	515	1294	618	643	1316	132	319	366	1165	1381	1355	1343	1278	993	1398	114	1366	1427	1373	1247	1289	1435	1235	795	1229	1066	1007	1224	1284	1169	1204	1039	1029	523	1080	967	1027	941	1490	1241	1059	1275	1228	1147	1133	1360	1318	844	821	591	282	66	179	100	64	76	99	88	125	178	179	334	334	280	150	180					
9	Число недействительных избирательных бюллетеней	2299	35	35	47	29	42	59	20	20	26	46	38	35	25	25	17	40	23	58	27	14	11	9	47	19	10	35	6	15	6	32	39	54	20	46	26	34	0	37	29	32	26	32	31	32	20	26	26	44	58	38	26	44	31	39	26	58	52	33	51	27	16	27	34	53	31	37	46	34	35	22	17	7	7	2	2	0	1	2	0	16	4	4	6	1	3	1	3					
10	Число действительных избирательных бюллетеней	76445	1297	1239	1078	927	1034	1122	505	1122	1340	1528	1199	1262	883	917	558	888	1212	1190	1089	870	438	511	1272	606	657	1297	126	313	363	1147	1361	1326	1337	1240	979	1380	114	1349	1411	1366	1234	1273	1408	1211	802	1221	1066	993	1186	1265	1165	1176	1025	1005	504	1035	927	1004	895	1477	1300	1063	1288	1188	1152	1118	1327	1301	827	809	662	275	59	177	98	64	75	97	88	109	183	194	328	335	277	149	177					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1106	14	14	14	14	14	14	14	14	14	14	19	14	14	14	14	21	14	14	14	14	14	14	14	14	14	20	14	14	14	14	15	13	7	14	14	14	14	14	14	14	14	14	14	18	14	14	14	14	14	14	14	14	14	14	4	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	0	0	0	0	0	0	0	0	0	9	14	14	14	14	14	28					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	446	13	6	8	6	1	9	3	3	14	6	5	12	4	5	1	20	3	2	2	5	1	2	10	2	1	20	3	1	3	9	15	6	5	4	6	6	0	8	12	12	12	8	12	13	4	1	12	3	4	3	3	6	0	4	1	4	9	3	9	1	14	3	5	5	10	9	2	6	2	4	1	0	0	0	0	0	0	0	0	0	9	1	2	2	4	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	355	10	8	24	9	1	1	0	2	8	1	8	7	1	3	0	9	20	1	0	3	5	2	8	3	0	6	0	0	1	7	4	3	2	8	6	6	0	1	5	5	5	2	3	7	5	3	5	2	12	0	7	5	1	5	4	2	2	4	1	5	2	4	5	13	1	10	3	2	2	4	1	1	0	15	1	0	2	0	0	0	3	11	0	3	1	2	1					
