Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																											
Дата голосования: 04.12.2011																																																																																											
																																																																																											
Наименование Избирательной комиссии:    Петропавловск-Камчатская городская																																																																																											
																																																																																											
Сводная таблица результатов выборов																																																																																											
																																																																																											
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84					
1	"Число избирателей, внесенных в список избирателей"	142756	2171	1920	2132	1875	1934	2162	1107	2168	2354	2750	2314	2836	1139	1802	1271	1549	2294	2493	2239	1978	1086	1017	2229	924	1479	2303	153	626	642	2112	2470	2273	2580	2334	1770	2496	154	2659	2508	2667	2242	2356	2968	2271	1634	2230	2235	2034	2501	2591	2075	2056	2161	1956	1058	2133	1392	1735	2034	2926	1809	1763	2251	2125	2418	2025	2500	2844	1735	1852	1132	172	59	143	102	40	91	95	85	132	490	292	434	609					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	135313	2000	1800	1900	1800	1800	2100	1000	2100	2080	2700	2000	2885	1100	1698	1200	1100	1850	2505	2199	1900	956	900	2200	898	1400	2400	184	600	600	2000	2400	2300	2500	2300	1700	2500	170	2595	2501	2500	2200	2300	2900	2200	1600	2000	2000	2000	2496	2500	2000	2000	2200	1800	1000	1499	1300	1700	1900	2504	2000	1700	2000	2010	2030	2000	2500	2800	1598	1500	1000	160	100	160	150	100	100	100	100	130	400	255	400	600					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	153	0	0	0	0	0	0	0	0	61	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	69101	1208	991	770	839	812	1021	448	1066	1102	1362	1048	1538	325	754	514	789	1277	1159	991	782	462	443	1098	466	629	1127	122	273	337	1079	1201	1209	1244	1177	891	1308	134	1244	1249	1289	1088	1216	1625	1211	732	1096	968	888	1075	1179	1026	968	938	904	479	1367	650	864	985	1613	1036	867	1012	1083	1000	958	1171	1314	775	815	513	136	49	143	102	39	81	95	66	111	295	246	236	308					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1473	9	10	222	26	24	19	17	21	8	19	15	16	11	26	16	28	12	13	26	19	7	9	18	14	14	16	0	9	7	8	18	18	13	30	14	19	0	18	13	28	14	9	10	8	16	26	44	23	36	17	27	25	25	14	5	11	20	7	7	15	8	13	40	32	25	33	9	20	25	7	66	0	0	0	0	0	0	0	0	0	0	6	0	0					
6	Число погашенных избирательных бюллетеней	64578	783	799	908	935	964	1060	535	1013	909	1317	937	1262	764	917	670	283	561	1333	1182	1099	487	448	1084	418	757	1257	62	318	256	913	1181	1073	1243	1093	795	1173	36	1333	1239	1183	1098	1075	1265	981	852	878	984	1089	1385	1304	947	1007	1237	882	516	121	630	829	908	876	956	820	948	895	982	1008	1320	1466	798	678	421	24	51	17	48	61	19	5	34	19	105	3	164	292					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1626	9	10	222	26	24	19	17	21	69	19	15	85	11	26	16	28	12	13	26	19	7	9	18	14	14	16	0	9	7	8	18	18	13	30	14	19	0	18	13	28	14	9	10	8	16	26	44	23	36	17	27	25	25	14	5	11	20	7	7	15	8	13	40	32	48	33	9	20	25	7	66	0	0	0	0	0	0	0	0	0	0	6	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	68868	1206	990	768	838	806	1016	448	1063	1101	1362	1048	1536	325	754	498	786	1271	1141	991	782	462	443	1095	465	629	1127	122	273	337	1079	1201	1206	1242	1177	891	1306	133	1243	1249	1288	1088	1216	1624	1210	730	1096	968	885	1073	1159	1023	967	938	904	478	1367	649	862	985	1613	936	865	1011	1080	999	957	1169	1312	775	814	513	136	49	143	102	39	81	95	66	109	295	245	236	308					
9	Число недействительных избирательных бюллетеней	1441	24	17	35	20	25	19	11	23	22	30	33	52	5	21	11	25	19	22	15	16	14	7	31	4	12	37	4	4	3	19	33	21	23	20	20	35	0	22	20	23	19	13	29	13	7	21	14	19	24	22	23	19	25	11	13	35	12	19	14	30	16	28	10	35	18	19	17	31	6	23	10	7	2	5	2	0	1	0	0	5	6	7	6	8					
10	Число действительных избирательных бюллетеней	69053	1191	983	955	844	805	1016	454	1061	1148	1351	1030	1569	331	759	503	789	1264	1132	1002	785	455	445	1082	475	631	1106	118	278	341	1068	1186	1203	1232	1187	885	1290	133	1239	1242	1293	1083	1212	1605	1205	739	1101	998	889	1085	1154	1027	973	938	907	470	1343	657	850	978	1598	928	850	1041	1077	1029	971	1161	1301	794	798	569	129	47	138	100	39	80	95	66	104	289	244	230	300					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	810	26	10	5	10	7	10	10	10	10	10	10	22	10	10	10	10	10	12	10	10	10	10	10	15	10	10	10	10	10	10	11	10	10	13	10	13	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	20	10	10	10	10	10	20	14	10	10	10	0	0	0	0	0	0	0	0	0	10	12	10	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	472	22	7	5	6	5	4	2	5	8	10	5	22	0	4	4	10	5	10	3	4	4	3	10	8	4	6	0	1	1	9	9	9	3	10	2	6	1	6	4	5	10	8	8	6	4	10	3	3	7	8	10	5	4	4	4	10	3	3	6	10	15	5	10	6	4	8	13	9	7	2	0	0	0	0	0	0	0	0	0	0	5	11	6	3					
