Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																		
Дата голосования: 04.12.2011																																																																																		
																																																																																		
"Наименование Избирательной комиссии:    Киров, Октябрьская"																																																																																		
																																																																																		
Сводная таблица результатов выборов																																																																																		
																																																																																		
		Сумма	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №495	УИК №496	УИК №497	УИК №499					
1	"Число избирателей, внесенных в список избирателей"	132697	2128	2288	2326	2164	1577	1993	2294	1984	1616	1924	1613	1311	2536	1125	2572	2658	2476	1425	1612	1784	1823	1275	1794	1605	1473	1916	1764	1753	2058	1530	1999	2543	2598	2116	1823	2210	2362	1303	2038	2318	2235	2169	2236	2439	2096	1807	1512	2203	2037	1638	1924	1609	1466	1995	2105	1682	2362	2579	1704	2519	1938	1526	1777	2290	623	2199	1285	123	311	140	204	147	179	102	1829					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	128550	2100	2300	2100	1900	1600	2000	2300	1850	1550	1900	1550	1200	2550	1000	2300	2400	2450	1400	1550	1800	1800	1250	1800	1550	1450	1900	1700	1700	2100	1200	1700	2500	2550	2050	1800	2200	2100	1300	2000	2300	1900	2200	2150	2300	2050	1800	1500	2000	1800	1600	1800	1600	1450	1950	2100	1650	2300	2550	1650	2500	1900	1500	1700	2200	600	2150	1250	200	350	200	350	250	300	200	1800					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	65273	847	1064	1158	1004	750	881	1118	1018	521	1001	772	741	1351	427	1167	1056	1166	681	763	988	1013	513	966	874	559	1012	901	969	1205	706	1227	1268	1362	1176	1006	1092	863	749	1012	1210	1272	1017	1062	1223	1085	867	746	1050	984	646	944	791	579	1021	1038	958	1189	1312	787	1347	742	772	1039	947	221	938	556	113	311	123	158	142	179	102	855					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2180	29	14	45	42	24	38	14	31	22	26	17	30	26	10	23	28	20	17	29	16	5	12	19	15	58	28	18	19	42	98	32	46	26	9	26	13	152	7	25	28	27	13	8	14	25	17	22	12	25	11	56	20	18	12	10	8	4	7	23	23	98	26	92	98	49	154	106	0	0	0	0	0	0	0	23					
6	Число погашенных избирательных бюллетеней	61097	1224	1222	897	854	826	1081	1168	801	1007	873	761	429	1173	563	1110	1316	1264	702	758	796	782	725	815	661	833	860	781	712	853	396	441	1186	1162	865	768	1095	1085	544	963	1062	601	1170	1080	1063	940	916	732	938	791	943	800	789	853	917	1052	684	1107	1231	840	1130	1060	702	569	1155	330	1058	588	87	39	77	192	108	121	98	922					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2180	29	14	45	42	24	38	14	31	22	26	17	30	26	10	23	28	20	17	29	16	5	12	19	15	58	28	18	19	42	98	32	46	26	9	26	13	152	7	25	28	27	13	8	14	25	17	22	12	25	11	56	20	18	12	10	8	4	7	23	23	98	26	92	98	49	154	106	0	0	0	0	0	0	0	23					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	65252	847	1061	1158	1004	750	881	1117	1018	521	1001	772	741	1351	427	1167	1056	1164	680	763	988	1012	513	966	874	558	1012	901	969	1203	705	1227	1266	1362	1176	1006	1092	863	749	1011	1209	1272	1016	1062	1223	1085	867	746	1050	984	646	944	791	579	1021	1037	958	1188	1312	787	1347	742	772	1039	947	221	938	556	113	311	123	158	142	179	102	853					
9	Число недействительных избирательных бюллетеней	856	15	12	13	7	9	19	10	12	3	13	9	11	19	4	6	10	11	11	17	16	11	5	15	15	7	12	11	17	19	14	15	23	10	13	7	17	6	11	17	17	17	17	7	7	18	13	5	12	10	10	5	11	5	26	14	22	21	14	16	24	11	14	0	12	1	16	11	2	2	1	1	0	8	2	12					
10	Число действительных избирательных бюллетеней	66576	861	1063	1190	1039	765	900	1121	1037	540	1014	780	760	1358	433	1184	1074	1173	686	775	988	1006	520	970	874	609	1028	908	971	1226	789	1244	1289	1378	1172	1025	1088	1009	745	1019	1220	1282	1012	1063	1230	1092	871	763	1050	999	647	995	800	592	1007	1033	944	1171	1305	794	1346	829	784	1131	1033	269	1076	651	111	309	122	157	142	171	100	864					
