Выборы Президента Российской Федерации																																																											
																																																											
Наименование Избирательной комиссии:    Устьянская																																																											
																																																											
Итоги голосования 																																																											
																																																											
		Сумма	УИК  893	УИК  894	УИК  895	УИК  896	УИК  897	УИК  898	УИК  899	УИК  900	УИК  901	УИК  902	УИК  903	УИК  904	УИК  905	УИК  906	УИК  907	УИК  908	УИК  909	УИК  910	УИК  911	УИК  912	УИК  913	УИК  914	УИК  915	УИК  916	УИК  917	УИК  918	УИК  919	УИК  920	УИК  921	УИК  922	УИК  923	УИК  924	УИК  925	УИК  926	УИК  927	УИК  928	УИК  929	УИК  930	УИК  931	УИК  932	УИК  933	УИК  934	УИК  935	УИК  936	УИК  937	УИК  938	УИК  939	УИК  940	УИК  941	УИК  942	УИК  943	УИК  944					
1	"Число избирателей, внесенных в список"	27143	394	151	391	713	55	125	215	325	185	138	686	577	547	146	368	157	587	978	1006	552	496	2961	2704	2486	250	118	126	58	113	500	94	79	455	577	171	185	399	605	128	101	1271	1571	502	681	210	365	147	96	106	611	196	485					
2	Число полученных избирательных бюллетеней	26142	380	154	370	690	51	132	210	305	189	149	670	580	540	146	360	166	570	980	970	510	510	2850	2400	2350	240	118	112	63	112	480	93	83	460	570	166	184	380	570	132	110	1220	1480	490	640	210	365	159	112	103	585	198	475					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	15563	257	90	255	331	42	97	146	204	116	97	456	295	370	112	245	94	378	623	597	273	303	1548	1515	1256	153	88	71	43	69	299	44	54	179	257	73	130	217	369	87	65	632	897	321	401	82	216	106	78	89	369	135	339					
5	"Число избирательных бюллетеней, выданных вне помещения"	1755	12	23	12	75	4	10	28	8	35	4	64	41	40	8	47	29	29	21	36	108	8	35	95	34	20	0	26	11	17	49	11	20	111	163	63	12	11	7	4	5	52	90	5	20	48	43	3	11	1	76	8	62					
6	Число погашенных избирательных бюллетеней	8824	111	41	103	284	5	25	36	93	38	48	150	244	130	26	68	43	163	336	337	129	199	1267	790	1060	67	30	15	9	26	132	38	9	170	150	30	42	152	194	41	40	536	493	164	219	80	106	50	23	13	140	55	74					
7	Число избирательных бюллетеней в переносных ящиках	1755	12	23	12	75	4	10	28	8	35	4	64	41	40	8	47	29	29	21	36	108	8	35	95	34	20	0	26	11	17	49	11	20	111	163	63	12	11	7	4	5	52	90	5	20	48	43	3	11	1	76	8	62					
8	Число бюллетеней в стационарных ящиках для голосования	15560	256	90	255	331	42	97	146	204	116	97	456	295	370	112	245	94	378	623	597	273	303	1548	1513	1256	153	88	71	43	69	299	44	54	179	257	73	130	217	369	87	65	632	897	321	401	82	216	106	78	89	369	135	339					
9	Число недействительных избирательных бюллетеней	133	3	2	4	4	0	2	1	2	1	1	4	4	3	1	1	3	3	4	4	9	3	10	6	11	1	0	1	1	0	1	0	2	0	3	0	2	3	4	0	2	4	7	4	4	0	2	1	0	0	1	3	1					
10	Число действительных избирательных бюллетеней	17182	265	111	263	402	46	105	173	210	150	100	516	332	407	119	291	120	404	640	629	372	308	1573	1602	1279	172	88	96	53	86	347	55	72	290	417	136	140	225	372	91	68	680	980	322	417	130	257	108	89	90	444	140	400					
