Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																															
Дата голосования: 18.09.2016																																																																															
																																																																															
"Наименование Избирательной комиссии:    Оренбург, Ленинская"																																																																															
																																																																															
Сводная таблица итогов голосования по федеральному избирательному округу																																																																															
																																																																															
		Сумма	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	139626	2351	1730	1828	2286	560	2691	2501	2770	2157	3069	2568	2737	2511	1885	2704	2581	2838	2393	2312	2665	1990	2100	1625	2238	2141	2611	2320	1644	1930	1409	2198	2373	2324	2577	2260	1749	1779	2204	2171	2182	2011	2119	2069	1453	1276	1893	1901	1310	859	1468	2159	1986	1662	2356	1999	2196	1648	2450	2573	1586	2082	1964	1784	448	2399	540	2529	1944									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	112190	2000	1300	1400	1800	450	2000	1900	2200	1800	2300	2000	2200	2200	1500	1900	2100	2200	1900	1800	2200	1600	2000	2000	1800	1600	2100	1900	1300	1600	1000	1700	1900	1800	2000	1700	1400	1300	1700	1600	1700	1600	1800	1700	1100	1000	1500	1600	1000	700	1300	1700	1600	1300	1900	1700	1700	1300	2000	2000	1300	1700	1500	1500	500	2000	540	2200	1600									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	55924	1027	668	877	1146	371	948	989	816	811	1198	1053	1166	1626	764	1004	1101	1090	938	803	922	664	878	908	701	569	950	784	564	745	426	957	1025	968	1120	959	721	843	892	879	978	947	1008	1032	545	458	771	721	411	353	667	764	619	489	972	876	701	549	898	941	616	842	687	829	238	861	540	1061	679									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1974	30	128	42	7	11	3	4	27	3	2	9	6	7	8	186	17	8	27	18	14	11	47	24	90	155	18	17	11	16	10	22	18	9	4	8	10	4	11	6	11	15	22	21	0	4	17	25	9	15	38	8	14	44	14	13	141	72	24	19	20	8	7	109	157	11	0	79	9									
6	Число погашенных избирательных бюллетеней	54292	943	504	481	647	68	1049	907	1357	986	1100	938	1028	567	728	710	982	1102	935	979	1264	925	1075	1068	1009	876	1132	1099	725	839	564	721	857	823	876	733	669	453	797	715	711	638	770	647	555	538	712	854	580	332	595	928	967	767	914	811	858	679	1078	1040	664	850	806	562	105	1128	0	1060	912									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1974	30	128	42	7	11	3	4	27	3	2	9	6	7	8	186	17	8	27	18	14	11	47	24	90	155	18	17	11	16	10	22	18	9	4	8	10	4	11	6	11	15	22	21	0	4	17	25	9	15	38	8	14	44	14	13	141	72	24	19	20	8	7	109	157	11	0	79	9									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	55897	1027	668	877	1146	371	948	985	816	811	1198	1036	1166	1625	764	1004	1101	1090	938	803	922	664	878	908	701	569	949	784	564	745	426	957	1025	968	1120	959	720	843	892	879	978	947	1008	1032	545	458	771	720	409	353	667	764	619	489	972	876	701	549	898	941	616	842	687	829	238	861	540	1061	679									
9	Число недействительных избирательных бюллетеней	1315	17	24	10	17	33	11	40	12	6	20	24	14	0	26	23	18	27	18	18	1	17	17	19	14	21	57	20	19	35	10	12	26	15	24	15	18	12	22	12	26	10	28	18	10	6	9	11	9	9	20	35	7	6	21	26	23	17	17	35	14	43	17	34	34	23	24	21	18									
10	Число действительных избирательных бюллетеней	56556	1040	772	909	1136	349	940	949	831	808	1180	1021	1158	1632	746	1167	1100	1071	947	803	935	658	908	913	777	703	910	781	556	726	426	967	1017	962	1100	952	712	835	881	873	963	952	1002	1035	535	456	779	734	409	359	685	737	626	527	965	863	819	604	905	925	622	807	677	904	361	849	516	1119	670									
