Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																
Дата голосования: 07.12.2003 0:00:00																
																
Наименование Избирательной комиссии:    Бисертская поселковая																
																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																
																
		Сумма	УИК №2559	УИК №2560	УИК №2561	УИК №2562	УИК №2563	УИК №2564	УИК №2565	УИК №2566	УИК №2567					
1	"Число избирателей, внесенных в списки"	8161	799	1020	1305	1077	1182	1227	1163	251	137					
2	"Число бюллетеней, полученных участковыми комиссиями"	8057	790	1010	1270	1090	1170	1200	1160	240	127					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	2968	216	309	461	492	355	459	432	138	106					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	260	49	22	18	16	83	26	15	31	0					
6	Число погашенных бюллетеней	4829	525	679	791	582	732	715	713	71	21					
7	Число бюллетеней в переносных ящиках для голосования	260	49	22	18	16	83	26	15	31	0					
8	Число бюллетеней в стационарных ящиках для голосования	2968	216	309	461	492	355	459	432	138	106					
9	Число недействительных бюллетеней	53	2	4	15	8	11	2	9	1	1					
10	Число действительных бюллетеней	3175	263	327	464	500	427	483	438	168	105					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	100	10	10	15	10	15	15	15	5	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	10	0	3	0	2	0	4	1	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	9	1	0	3	1	2	0	0	1	1					
14	Число погашенных открепительных удостоверений	90	10	7	15	8	15	11	14	5	5					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0					
																
18	"1. ""ЕДИНЕНИЕ"""	27	0	4	4	1	3	8	5	2	0					
		0.83%	0.0%	1.20%	0.83%	0.19%	0.68%	1.64%	1.11%	1.18%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	55	1	7	12	4	7	18	5	1	0					
		1.70%	0.37%	2.11%	2.50%	0.78%	1.59%	3.71%	1.11%	0.59%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	130	6	11	16	20	33	12	22	10	0					
		4.02%	2.26%	3.32%	3.34%	3.93%	7.53%	2.47%	4.92%	5.91%	0.0%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	100	3	14	15	22	13	11	14	8	0					
		3.09%	1.13%	4.22%	3.13%	4.33%	2.96%	2.26%	3.13%	4.73%	0.0%					
22	"5. ""За Русь Святую"""	27	3	2	5	2	6	2	5	2	0					
		0.83%	1.13%	0.60%	1.04%	0.39%	1.36%	0.41%	1.11%	1.18%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	14	3	0	2	3	4	1	0	1	0					
		0.43%	1.13%	0.0%	0.41%	0.59%	0.91%	0.20%	0.0%	0.59%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	26	4	9	2	3	0	3	5	0	0					
		0.80%	1.50%	2.71%	0.41%	0.59%	0.0%	0.61%	1.11%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	5	1	1	1	0	1	1	0	0	0					
		0.15%	0.37%	0.30%	0.20%	0.0%	0.22%	0.20%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	8	1	2	2	2	0	1	0	0	0					
		0.24%	0.37%	0.60%	0.41%	0.39%	0.0%	0.20%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	142	14	10	24	15	12	20	24	23	0					
		4.39%	5.28%	3.02%	5.01%	2.95%	2.73%	4.12%	5.36%	13.60%	0.0%					
28	"11. ""Истинные патриоты России"""	0	0	0	0	0	0	0	0	0	0					
		0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	58	1	12	5	10	4	12	12	1	1					
		1.79%	0.37%	3.62%	1.04%	1.96%	0.91%	2.47%	2.68%	0.59%	0.94%					
30	"13. ""Демократическая партия России"""	4	0	1	1	1	1	0	0	0	0					
		0.12%	0.0%	0.30%	0.20%	0.19%	0.22%	0.0%	0.0%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	8	0	1	0	2	1	4	0	0	0					
		0.24%	0.0%	0.30%	0.0%	0.39%	0.22%	0.82%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	5	0	0	1	1	0	0	2	0	1					
		0.15%	0.0%	0.0%	0.20%	0.19%	0.0%	0.0%	0.44%	0.0%	0.94%					
