Выборы Президента Российской Федерации																																																																
																																																																
Наименование Избирательной комиссии:    Оренбургская																																																																
																																																																
Итоги голосования 																																																																
																																																																
		Сумма	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170	УИК №1171	УИК №1172	УИК №1173	УИК №1174	УИК №1175	УИК №1176	УИК №1177	УИК №1178	УИК №1179	УИК №1180	УИК №1181					
1	"Число избирателей, внесенных в список"	47917	1773	314	92	1244	755	654	265	138	1581	611	195	2533	1204	776	433	815	281	319	172	744	1049	786	219	120	227	342	554	392	272	849	836	1017	431	757	780	485	2181	288	1011	808	966	878	1262	543	1196	891	2041	2350	2008	1161	552	214	1603	548	1703	729	969					
2	Число полученных избирательных бюллетеней	47039	1748	317	91	1230	754	642	260	134	1570	570	201	2495	1204	760	420	811	280	330	160	740	1026	770	220	120	220	350	550	390	260	843	825	1005	410	734	778	480	2130	230	990	790	940	830	1200	530	1200	880	2000	2269	1995	1163	545	209	1570	530	1700	700	940					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	29064	934	179	68	931	491	404	157	90	780	447	128	1454	623	561	330	532	224	183	107	369	673	514	187	120	197	244	299	260	164	466	510	641	321	454	446	338	1258	207	651	505	566	550	792	370	723	561	1202	1272	1018	569	361	164	912	236	991	500	830					
5	"Число избирательных бюллетеней, выданных вне помещения"	3143	82	20	7	63	41	24	26	0	222	30	9	53	86	27	7	54	7	20	22	96	50	42	0	0	2	30	70	51	28	176	31	41	29	52	74	31	120	6	59	90	86	74	116	17	29	44	83	101	85	149	57	10	90	188	90	9	37					
6	Число погашенных избирательных бюллетеней	14832	732	118	16	236	222	214	77	44	568	93	64	988	495	172	83	225	49	127	31	275	303	214	33	0	21	76	181	79	68	201	284	323	60	228	258	111	752	17	280	195	288	206	292	143	448	275	715	896	892	445	127	35	568	106	619	191	73					
7	Число избирательных бюллетеней в переносных ящиках	3143	82	20	7	63	41	24	26	0	222	30	9	53	86	27	7	54	7	20	22	96	50	42	0	0	2	30	70	51	28	176	31	41	29	52	74	31	120	6	59	90	86	74	116	17	29	44	83	101	85	149	57	10	90	188	90	9	37					
8	Число бюллетеней в стационарных ящиках для голосования	29057	933	179	68	929	491	404	157	90	780	447	128	1452	623	561	330	532	224	182	107	369	672	514	187	120	197	244	299	260	164	466	510	641	321	454	446	338	1258	207	651	505	566	550	792	370	723	561	1202	1272	1018	569	361	164	912	236	991	500	830					
9	Число недействительных избирательных бюллетеней	313	12	6	0	21	8	4	4	0	9	10	1	9	5	9	4	5	2	5	1	2	3	1	4	0	2	6	4	5	0	2	6	2	5	6	5	3	11	0	2	8	7	3	6	9	15	2	3	6	8	11	5	3	16	6	9	1	11					
10	Число действительных избирательных бюллетеней	31887	1003	193	75	971	524	424	179	90	993	467	136	1496	704	579	333	581	229	197	128	463	719	555	183	120	197	268	365	306	192	640	535	680	345	500	515	366	1367	213	708	587	645	621	902	378	737	603	1282	1367	1095	707	413	171	986	418	1072	508	856					
