Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																				
Дата голосования: 18.09.2016																																																				
																																																				
Наименование Избирательной комиссии:    Собинская																																																				
																																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																																				
																																																				
		Сумма	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	47618	692	631	436	378	1454	439	1546	904	403	601	593	556	201	1214	1681	1585	1774	758	241	657	155	699	324	385	1966	2128	1966	2062	2013	1952	1980	2060	1550	1637	1731	1992	1833	1905	1736	372	428									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	46100	650	600	400	350	1400	400	1500	850	390	600	550	550	190	1200	1600	1500	1700	700	240	600	150	700	300	380	1900	2100	1950	2000	2000	1900	1900	2000	1500	1600	1700	1900	1800	1900	1700	350	400									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	16178	261	352	165	155	525	126	578	277	91	246	235	181	76	480	647	613	549	440	114	330	88	392	129	249	537	708	579	597	719	647	643	612	360	523	512	694	588	592	327	116	125									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	3107	154	84	143	73	353	149	79	80	72	22	35	37	6	59	31	22	74	92	28	63	21	75	72	40	297	43	112	132	28	25	34	41	108	28	36	61	105	59	118	11	5									
6	Число погашенных избирательных бюллетеней	26815	235	164	92	122	522	125	843	493	227	332	280	332	108	661	922	865	1077	168	98	207	41	233	99	91	1066	1349	1259	1271	1253	1228	1223	1347	1032	1049	1152	1145	1107	1249	1255	223	270									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	3107	154	84	143	73	353	149	79	80	72	22	35	37	6	59	31	22	74	92	28	63	21	75	72	40	297	43	112	132	28	25	34	41	108	28	36	61	105	59	118	11	5									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	16170	261	352	165	155	525	126	578	277	91	246	235	181	76	480	647	612	549	440	114	330	88	392	129	249	536	707	579	597	719	647	643	610	360	523	512	692	588	592	326	116	125									
9	Число недействительных избирательных бюллетеней	511	1	6	7	7	3	3	10	13	2	8	4	4	3	15	17	16	22	10	1	11	6	8	3	2	24	18	22	22	15	22	24	19	15	21	17	52	25	15	13	0	5									
10	Число действительных избирательных бюллетеней	18766	414	430	301	221	875	272	647	344	161	260	266	214	79	524	661	618	601	522	141	382	103	459	198	287	809	732	669	707	732	650	653	632	453	530	531	701	668	636	431	127	125									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	409	10	22	19	3	18	5	10	5	5	5	5	10	5	10	10	12	8	8	5	5	5	24	5	5	10	10	11	10	20	10	10	10	10	10	15	13	10	21	10	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	348	3	19	19	2	18	5	10	5	5	5	3	8	2	10	10	11	5	8	5	5	2	24	5	5	8	8	11	10	14	7	8	10	9	4	15	9	8	20	7	2	4									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	303	17	10	6	6	9	12	8	11	12	4	4	3	3	5	7	5	7	5	0	4	2	3	9	6	9	10	15	15	7	3	4	7	3	2	6	6	10	9	18	8	13									
14	Число погашенных неиспользованных открепительных удостоверений	61	7	3	0	1	0	0	0	0	0	0	2	2	3	0	0	1	3	0	0	0	3	0	0	0	2	2	0	0	6	3	2	0	1	6	0	4	2	1	3	3	1									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	81	3	0	0	0	0	2	2	1	0	1	0	0	0	3	0	3	3	0	0	0	0	1	0	0	2	5	7	9	5	1	5	6	2	1	4	2	7	1	4	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																				
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	329	5	8	4	4	21	3	14	5	1	1	3	2	2	5	16	11	7	4	2	9	0	10	1	5	9	17	13	14	11	13	13	11	12	11	7	10	16	17	9	2	1									
		1.71%	1.20%	1.83%	1.30%	1.75%	2.39%	1.09%	2.13%	1.40%	0.61%	0.37%	1.11%	0.92%	2.44%	0.93%	2.36%	1.74%	1.12%	0.75%	1.41%	2.29%	0.00%	2.14%	0.50%	1.73%	1.08%	2.27%	1.88%	1.92%	1.47%	1.93%	1.92%	1.69%	2.56%	1.99%	1.28%	1.33%	2.31%	2.61%	2.03%	1.57%	0.77%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	541	15	9	12	1	23	10	10	7	3	7	6	5	0	17	25	33	23	10	5	15	4	20	2	4	15	19	17	17	20	23	16	17	14	14	16	25	29	21	8	0	4									
		2.81%	3.61%	2.06%	3.90%	0.44%	2.62%	3.64%	1.52%	1.96%	1.84%	2.61%	2.22%	2.29%	0.00%	3.15%	3.69%	5.21%	3.69%	1.88%	3.52%	3.82%	3.67%	4.28%	0.99%	1.38%	1.80%	2.53%	2.46%	2.33%	2.68%	3.42%	2.36%	2.61%	2.99%	2.54%	2.92%	3.32%	4.18%	3.23%	1.80%	0.00%	3.08%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	600	3	12	8	1	34	9	22	14	3	5	5	3	4	18	27	25	24	10	2	4	7	21	2	8	21	23	22	13	26	16	15	20	13	29	21	27	25	33	16	3	6									
		3.11%	0.72%	2.75%	2.60%	0.44%	3.87%	3.27%	3.35%	3.92%	1.84%	1.87%	1.85%	1.38%	4.88%	3.34%	3.98%	3.94%	3.85%	1.88%	1.41%	1.02%	6.42%	4.50%	0.99%	2.77%	2.52%	3.07%	3.18%	1.78%	3.48%	2.38%	2.22%	3.07%	2.78%	5.26%	3.83%	3.59%	3.61%	5.07%	3.60%	2.36%	4.62%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	9540	258	301	181	163	484	180	334	168	96	126	153	123	43	201	256	238	244	275	85	190	62	247	106	173	519	357	347	372	323	306	327	321	236	245	228	339	334	254	218	75	52									
		49.49%	62.17%	69.04%	58.77%	71.49%	55.13%	65.45%	50.84%	47.06%	58.90%	47.01%	56.67%	56.42%	52.44%	37.29%	37.76%	37.54%	39.17%	51.69%	59.86%	48.35%	56.88%	52.89%	52.74%	59.86%	62.30%	47.60%	50.22%	51.03%	43.24%	45.54%	48.30%	49.31%	50.43%	44.46%	41.61%	45.02%	48.20%	39.02%	49.10%	59.06%	40.00%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	128	2	3	3	1	7	1	1	3	0	0	1	2	0	4	6	2	2	0	1	4	0	4	1	2	15	6	3	14	4	4	6	3	3	3	0	6	3	5	3	0	0									
		0.66%	0.48%	0.69%	0.97%	0.44%	0.80%	0.36%	0.15%	0.84%	0.00%	0.00%	0.37%	0.92%	0.00%	0.74%	0.88%	0.32%	0.32%	0.00%	0.70%	1.02%	0.00%	0.86%	0.50%	0.69%	1.80%	0.80%	0.43%	1.92%	0.54%	0.60%	0.89%	0.46%	0.64%	0.54%	0.00%	0.80%	0.43%	0.77%	0.68%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	37	0	0	3	0	2	0	4	1	0	0	1	0	0	2	0	1	0	0	0	0	0	2	0	1	2	3	1	1	0	0	5	0	0	1	2	1	1	1	2	0	0									
		0.19%	0.00%	0.00%	0.97%	0.00%	0.23%	0.00%	0.61%	0.28%	0.00%	0.00%	0.37%	0.00%	0.00%	0.37%	0.00%	0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.43%	0.00%	0.35%	0.24%	0.40%	0.14%	0.14%	0.00%	0.00%	0.74%	0.00%	0.00%	0.18%	0.36%	0.13%	0.14%	0.15%	0.45%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	4011	59	56	44	28	171	45	140	83	31	72	66	48	18	124	156	130	142	148	31	89	11	74	60	48	117	167	154	135	183	162	133	145	87	117	137	159	128	158	94	26	35									
		20.81%	14.22%	12.84%	14.29%	12.28%	19.48%	16.36%	21.31%	23.25%	19.02%	26.87%	24.44%	22.02%	21.95%	23.01%	23.01%	20.50%	22.79%	27.82%	21.83%	22.65%	10.09%	15.85%	29.85%	16.61%	14.05%	22.27%	22.29%	18.52%	24.50%	24.11%	19.65%	22.27%	18.59%	21.23%	25.00%	21.12%	18.47%	24.27%	21.17%	20.47%	26.92%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	138	4	0	1	0	8	0	6	0	0	3	0	1	0	6	5	6	6	7	0	2	0	1	1	0	3	9	9	7	6	3	5	5	2	2	4	8	7	4	4	0	3									
		0.72%	0.96%	0.00%	0.32%	0.00%	0.91%	0.00%	0.91%	0.00%	0.00%	1.12%	0.00%	0.46%	0.00%	1.11%	0.74%	0.95%	0.96%	1.32%	0.00%	0.51%	0.00%	0.21%	0.50%	0.00%	0.36%	1.20%	1.30%	0.96%	0.80%	0.45%	0.74%	0.77%	0.43%	0.36%	0.73%	1.06%	1.01%	0.61%	0.90%	0.00%	2.31%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	171	7	3	0	0	7	1	6	3	1	1	3	4	3	13	4	0	9	3	0	4	0	5	0	0	5	5	1	8	12	5	9	13	3	5	6	2	6	6	6	1	1									
		0.89%	1.69%	0.69%	0.00%	0.00%	0.80%	0.36%	0.91%	0.84%	0.61%	0.37%	1.11%	1.83%	3.66%	2.41%	0.59%	0.00%	1.44%	0.56%	0.00%	1.02%	0.00%	1.07%	0.00%	0.00%	0.60%	0.67%	0.14%	1.10%	1.61%	0.74%	1.33%	1.99%	0.64%	0.91%	1.09%	0.27%	0.87%	0.92%	1.35%	0.79%	0.77%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	21	0	1	0	0	1	1	1	1	0	0	1	1	0	2	0	3	0	0	0	0	0	1	0	0	0	0	1	1	1	0	2	0	0	2	0	0	0	1	0	0	0									
		0.11%	0.00%	0.23%	0.00%	0.00%	0.11%	0.36%	0.15%	0.28%	0.00%	0.00%	0.37%	0.46%	0.00%	0.37%	0.00%	0.47%	0.00%	0.00%	0.00%	0.00%	0.00%	0.21%	0.00%	0.00%	0.00%	0.00%	0.14%	0.14%	0.13%	0.00%	0.30%	0.00%	0.00%	0.36%	0.00%	0.00%	0.00%	0.15%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	220	7	0	3	0	3	0	10	4	5	1	0	3	0	8	10	6	10	4	0	8	0	3	0	1	8	10	10	15	8	10	11	12	6	4	14	7	3	9	5	1	1									
		1.14%	1.69%	0.00%	0.97%	0.00%	0.34%	0.00%	1.52%	1.12%	3.07%	0.37%	0.00%	1.38%	0.00%	1.48%	1.47%	0.95%	1.61%	0.75%	0.00%	2.04%	0.00%	0.64%	0.00%	0.35%	0.96%	1.33%	1.45%	2.06%	1.07%	1.49%	1.62%	1.84%	1.28%	0.73%	2.55%	0.93%	0.43%	1.38%	1.13%	0.79%	0.77%									
