Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																															
Дата голосования: 18.09.2016																															
																															
Наименование Избирательной комиссии:    Курчатовская городская																															
																															
Сводная таблица итогов голосования по федеральному избирательному округу																															
																															
		Сумма	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	34842	1764	1809	1964	1857	1581	1707	1686	1852	1799	1668	1612	1659	1797	1807	1530	1588	1657	1615	1871	2019									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	27100	1400	1400	1500	1400	1200	1300	1300	1400	1400	1300	1300	1300	1400	1400	1200	1200	1300	1300	1500	1600									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	16380	796	940	1016	876	858	918	536	836	940	834	817	773	718	745	764	758	803	734	766	952									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	125	13	10	11	7	9	13	2	5	6	7	3	4	7	6	2	3	6	2	5	4									
6	Число погашенных избирательных бюллетеней	10595	591	450	473	517	333	369	762	559	454	459	480	523	675	649	434	439	491	564	729	644									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	125	13	10	11	7	9	13	2	5	6	7	3	4	7	6	2	3	6	2	5	4									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	16374	796	940	1016	874	858	918	536	835	940	834	817	770	718	745	764	758	803	734	766	952									
9	Число недействительных избирательных бюллетеней	409	14	34	24	18	11	26	11	11	29	24	17	21	21	23	24	23	18	19	21	20									
10	Число действительных избирательных бюллетеней	16090	795	916	1003	863	856	905	527	829	917	817	803	753	704	728	742	738	791	717	750	936									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	260	15	15	15	10	10	15	15	10	10	10	15	15	10	10	10	15	15	15	15	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	156	10	10	12	6	3	9	9	8	8	3	9	11	7	6	0	8	10	9	10	8									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	43	5	2	1	2	0	5	1	1	3	2	3	6	0	1	3	1	2	2	1	2									
14	Число погашенных неиспользованных открепительных удостоверений	104	5	5	3	4	7	6	6	2	2	7	6	4	3	4	10	7	5	6	5	7									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	48	2	0	2	2	5	1	6	0	0	2	3	3	4	1	0	3	2	0	10	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																															
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	284	11	29	15	12	16	13	9	11	15	17	12	16	8	10	12	12	20	13	12	21									
		1.72%	1.36%	3.05%	1.46%	1.36%	1.85%	1.40%	1.67%	1.31%	1.59%	2.02%	1.46%	2.07%	1.10%	1.33%	1.57%	1.58%	2.47%	1.77%	1.56%	2.20%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	630	40	36	43	36	31	33	12	35	37	27	30	27	25	32	30	26	38	25	31	36									
		3.82%	4.94%	3.79%	4.19%	4.09%	3.58%	3.54%	2.23%	4.17%	3.91%	3.21%	3.66%	3.49%	3.45%	4.26%	3.92%	3.42%	4.70%	3.40%	4.02%	3.77%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	443	18	21	18	24	27	34	8	26	32	39	17	18	16	17	16	28	24	21	17	22									
		2.69%	2.22%	2.21%	1.75%	2.72%	3.11%	3.65%	1.49%	3.10%	3.38%	4.64%	2.07%	2.33%	2.21%	2.26%	2.09%	3.68%	2.97%	2.85%	2.20%	2.30%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	6600	318	397	451	359	371	336	224	333	379	343	317	328	287	292	302	311	306	304	283	359									
