Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																													
Дата голосования: 04.12.2011																																													
																																													
Наименование Избирательной комиссии:    Аткарская																																													
																																													
Сводная таблица результатов выборов																																													
																																													
		Сумма	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456					
1	"Число избирателей, внесенных в список избирателей"	32741	1904	1585	877	1084	2024	2042	1683	1424	767	1274	1336	1644	963	1668	367	413	313	715	338	879	441	411	1044	625	471	485	345	369	843	909	246	452	336	399	214	1075	513	263					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	33908	2000	1638	888	1094	2140	2062	1747	1487	800	1300	1305	1716	997	1736	325	418	324	770	367	912	452	399	1085	634	491	503	363	383	907	957	314	466	374	426	229	1092	533	274					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	21304	1469	824	533	524	1820	901	1531	774	426	570	584	1404	810	970	318	341	233	338	169	472	365	226	833	571	375	367	302	330	291	470	164	316	246	232	155	430	422	198					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	4373	427	178	141	109	188	164	139	107	47	189	208	120	140	205	7	64	77	130	108	222	49	172	206	28	69	104	39	35	220	71	68	45	36	26	25	110	64	36					
6	Число погашенных избирательных бюллетеней	8231	104	636	214	461	132	997	77	606	327	541	513	192	47	561	0	13	14	302	90	218	38	1	46	35	47	32	22	18	396	416	82	105	92	168	49	552	47	40					
7	Число избирательных бюллетеней в переносных ящиках для голосования	4371	427	178	141	109	188	164	139	107	47	189	208	120	140	205	7	64	77	130	108	222	49	172	206	28	69	104	39	35	218	71	68	45	36	26	25	110	64	36					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	21261	1469	824	533	524	1820	901	1531	774	426	570	584	1404	810	970	318	341	233	338	169	472	365	226	790	571	375	367	302	330	291	470	164	316	246	232	155	430	422	198					
9	Число недействительных избирательных бюллетеней	261	8	15	3	13	12	15	14	7	8	8	10	8	7	12	0	1	0	3	1	0	0	0	29	17	0	0	0	0	7	6	1	0	0	1	9	6	38	2					
10	Число действительных избирательных бюллетеней	25371	1888	987	671	620	1996	1050	1656	874	465	751	782	1516	943	1163	325	404	310	465	276	694	414	398	967	582	444	471	341	365	502	535	231	361	282	257	171	534	448	232					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	849	48	30	10	11	52	36	39	42	14	27	37	39	17	39	5	3	6	43	25	17	10	5	17	10	5	9	11	8	40	30	62	15	25	23	9	10	12	8					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	825	48	30	10	11	52	36	39	39	13	27	37	39	17	39	5	2	5	43	25	17	8	0	17	5	5	9	11	8	39	30	62	12	25	23	9	8	12	8					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	312	12	16	14	22	18	25	22	19	12	21	17	4	11	8	40	2	1	5	2	2	1	2	6	3	2	0	1	3	2	1	2	1	2	5	0	5	0	3					
14	Число погашенных неиспользованных открепительных удостоверений	24	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	1	1	0	0	0	2	5	0	5	0	0	0	0	1	0	0	3	0	0	0	2	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	51	4	1	1	2	2	5	3	2	1	2	4	3	0	1	0	0	1	1	0	0	0	0	2	1	0	0	1	0	2	3	0	1	7	0	1	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																													
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2783	227	190	104	98	188	225	180	149	57	123	104	145	105	152	22	29	10	47	15	70	5	27	49	24	26	3	38	4	68	88	12	42	10	34	11	62	22	18					
		10.86%	11.97%	18.96%	15.43%	15.48%	9.36%	21.13%	10.78%	16.91%	12.05%	16.21%	13.13%	9.51%	11.05%	12.94%	6.77%	7.16%	3.23%	10.04%	5.42%	10.09%	1.21%	6.78%	4.92%	4.01%	5.86%	0.64%	11.14%	1.10%	13.36%	16.27%	5.17%	11.63%	3.55%	13.18%	6.11%	11.48%	4.53%	7.69%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1707	139	91	40	80	142	104	102	70	44	71	78	77	53	103	16	25	2	51	13	11	5	26	27	25	16	3	26	0	54	53	13	17	1	15	10	72	17	15					
		6.66%	7.33%	9.08%	5.93%	12.64%	7.07%	9.77%	6.11%	7.95%	9.30%	9.35%	9.85%	5.05%	5.58%	8.77%	4.92%	6.17%	0.65%	10.90%	4.69%	1.59%	1.21%	6.53%	2.71%	4.17%	3.60%	0.64%	7.62%	0.00%	10.61%	9.80%	5.60%	4.71%	0.35%	5.81%	5.56%	13.33%	3.50%	6.41%					
