Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																									
Дата голосования: 18.09.2016																																																																									
																																																																									
Наименование Избирательной комиссии:    Белебеевская																																																																									
																																																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																																																									
																																																																									
		Сумма	УИК №1182	УИК №1183	УИК №1184	УИК №1185	УИК №1186	УИК №1187	УИК №1188	УИК №1189	УИК №1190	УИК №1191	УИК №1192	УИК №1194	УИК №1195	УИК №1196	УИК №1197	УИК №1198	УИК №1199	УИК №1200	УИК №1201	УИК №1202	УИК №1203	УИК №1204	УИК №1205	УИК №1206	УИК №1207	УИК №1208	УИК №1209	УИК №1210	УИК №1211	УИК №1212	УИК №1213	УИК №1214	УИК №1215	УИК №1216	УИК №1217	УИК №1218	УИК №1219	УИК №1220	УИК №1221	УИК №1222	УИК №1223	УИК №1224	УИК №1225	УИК №1226	УИК №1227	УИК №1228	УИК №1229	УИК №1230	УИК №1231	УИК №1232	УИК №1233	УИК №1234	УИК №1235	УИК №1236	УИК №1237	УИК №1238	УИК №1239	УИК №1240	УИК №1241	УИК №1242	УИК №1243	УИК №1244									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	73843	2037	825	1277	1544	1090	1259	1091	1243	2008	2296	2318	2038	1940	1987	2278	2326	2024	1059	2071	2212	2254	1930	1951	2343	983	2187	924	968	2155	935	1000	2022	1903	1073	1105	1006	593	252	2282	503	317	475	218	235	444	229	295	355	539	712	529	685	195	1792	636	988	472	516	327	288	166	138									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	71710	1980	830	1190	1450	1000	1175	1010	1210	1910	2125	2170	1955	1865	1880	2115	2210	1950	1065	1990	2120	2155	1905	1950	2260	900	2000	900	950	2080	945	965	2000	1850	1050	1100	1000	655	250	2300	565	318	477	223	237	450	230	296	360	542	712	536	705	196	1810	695	960	472	525	330	296	180	180									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	52978	1770	657	1049	416	908	348	814	990	1533	1712	1827	1609	1159	1350	1586	1815	1359	845	1620	654	719	1651	1672	1985	829	1625	795	741	1647	781	753	1504	1480	755	808	657	582	221	1221	447	248	405	195	209	350	223	196	258	489	333	273	563	185	986	540	874	445	450	315	267	148	132									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2057	12	5	13	24	34	37	7	12	13	10	27	21	8	99	14	16	12	6	16	18	27	19	26	7	17	10	13	8	12	28	5	23	28	35	130	14	3	16	34	24	51	47	12	14	65	0	85	83	28	208	98	77	0	314	0	49	0	35	0	8	0	0									
6	Число погашенных избирательных бюллетеней	16675	198	168	128	1010	58	790	189	208	364	403	316	325	698	431	515	379	579	214	354	1448	1409	235	252	268	54	365	92	201	421	136	207	473	342	260	162	329	70	13	1045	94	19	25	16	14	35	7	15	19	25	171	165	65	11	510	155	37	27	40	15	21	32	48									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2057	12	5	13	24	34	37	7	12	13	10	27	21	8	99	14	16	12	6	16	18	27	19	26	7	17	10	13	8	12	28	5	23	28	35	130	14	3	16	34	24	51	47	12	14	65	0	85	83	28	208	98	77	0	314	0	49	0	35	0	8	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	52843	1770	657	1049	415	908	348	814	990	1533	1712	1827	1609	1159	1350	1586	1815	1359	845	1620	636	719	1651	1672	1985	829	1625	795	741	1647	781	753	1504	1480	755	808	657	466	221	1221	447	248	405	195	209	350	223	196	258	489	333	273	563	185	986	540	874	445	450	315	267	148	132									
9	Число недействительных избирательных бюллетеней	225	0	0	0	2	0	8	0	0	0	0	1	5	13	10	0	17	6	0	0	14	4	20	35	0	0	0	4	0	0	0	0	8	0	1	0	0	5	0	10	11	0	5	0	0	0	0	0	0	0	20	1	0	0	0	9	7	7	0	0	0	0	2									
10	Число действительных избирательных бюллетеней	54675	1782	662	1062	437	942	377	821	1002	1546	1722	1853	1625	1154	1439	1600	1814	1365	851	1636	640	742	1650	1663	1992	846	1635	804	749	1659	809	758	1519	1508	789	938	671	464	237	1245	460	299	447	207	223	415	223	281	341	517	521	370	640	185	1300	531	916	438	485	315	275	148	130									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	585	15	5	10	10	10	10	10	10	20	25	20	15	15	10	20	15	15	10	10	15	15	10	20	10	10	10	10	10	10	10	10	10	10	10	10	10	5	5	10	5	5	5	5	5	5	5	5	5	5	5	10	10	0	10	5	10	5	5	5	5	0	0									
