Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																										
Дата голосования: 07.12.2003 0:00:00																										
																										
Наименование Избирательной комиссии:    Гумбетовская																										
																										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																										
																										
		Сумма	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163					
1	"Число избирателей, внесенных в списки"	9972	787	927	274	407	775	700	1146	167	149	171	1030	569	368	378	135	565	401	643	380					
2	"Число бюллетеней, полученных участковыми комиссиями"	9754	754	893	242	380	738	700	1146	167	145	168	1010	565	368	337	135	568	401	657	380					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	8171	692	850	192	292	351	650	1146	135	111	159	700	505	316	331	135	431	332	523	320					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	276	0	0	0	0	258	0	0	0	0	2	16	0	0	0	0	0	0	0	0					
6	Число погашенных бюллетеней	1304	62	43	50	88	129	50	0	32	34	7	294	60	52	6	0	137	69	131	60					
7	Число бюллетеней в переносных ящиках для голосования	276	0	0	0	0	258	0	0	0	0	2	16	0	0	0	0	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	8171	692	850	192	292	351	650	1146	135	111	159	700	505	316	331	135	431	332	523	320					
9	Число недействительных бюллетеней	21	7	6	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	1	0					
10	Число действительных бюллетеней	8426	685	844	192	292	609	650	1146	134	105	161	716	505	316	331	135	431	332	522	320					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	88	20	5	0	0	0	0	6	0	0	0	10	10	2	15	0	0	10	5	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	45	5	4	0	0	0	0	0	0	0	0	10	5	2	15	0	0	4	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0					
14	Число погашенных открепительных удостоверений	43	15	1	0	0	0	0	6	0	0	0	0	5	0	0	0	0	6	5	5					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																										
18	"1. ""ЕДИНЕНИЕ"""	135	0	23	0	0	0	0	0	0	3	0	0	0	0	0	108	0	0	1	0					
		1.59%	0.0%	2.70%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	2.70%	0.0%	0.0%	0.0%	0.0%	0.0%	80.0%	0.0%	0.0%	0.19%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	2156	20	0	4	26	505	531	360	0	1	10	64	45	28	30	0	39	30	444	19					
		25.52%	2.89%	0.0%	2.08%	8.90%	82.92%	81.69%	31.41%	0.0%	0.90%	6.21%	8.93%	8.91%	8.86%	9.06%	0.0%	9.04%	9.03%	84.89%	5.93%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
22	"5. ""За Русь Святую"""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	245	90	26	18	6	0	15	23	0	0	0	14	10	6	7	0	9	7	8	6					
		2.90%	13.00%	3.05%	9.37%	2.05%	0.0%	2.30%	2.00%	0.0%	0.0%	0.0%	1.95%	1.98%	1.89%	2.11%	0.0%	2.08%	2.10%	1.52%	1.87%					
28	"11. ""Истинные патриоты России"""	321	35	33	5	3	26	40	50	10	18	0	7	5	3	3	17	4	3	46	13					
		3.80%	5.05%	3.88%	2.60%	1.02%	4.26%	6.15%	4.36%	7.40%	16.21%	0.0%	0.97%	0.99%	0.94%	0.90%	12.59%	0.92%	0.90%	8.79%	4.06%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
30	"13. ""Демократическая партия России"""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	210	0	7	0	18	0	0	0	0	0	9	42	30	19	20	0	26	20	0	19					
		2.48%	0.0%	0.82%	0.0%	6.16%	0.0%	0.0%	0.0%	0.0%	0.0%	5.59%	5.86%	5.94%	6.01%	6.04%	0.0%	6.03%	6.02%	0.0%	5.93%					
32	"15. ""Партия СЛОН"""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	9	0					
		0.11%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.74%	0.0%	0.0%	1.72%	0.0%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
35	"18. ""ЛДПР"""	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
