Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																					
Дата голосования: 07.12.2003 0:00:00																																																																																					
																																																																																					
Наименование Избирательной комиссии:    Неклиновская 																																																																																					
																																																																																					
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																					
																																																																																					
		Сумма	УИК №1888	УИК №1889	УИК №1890	УИК №1891	УИК №1892	УИК №1893	УИК №1894	УИК №1895	УИК №1896	УИК №1897	УИК №1898	УИК №1899	УИК №1900	УИК №1901	УИК №1902	УИК №1903	УИК №1904	УИК №1905	УИК №1906	УИК №1907	УИК №1908	УИК №1909	УИК №1910	УИК №1911	УИК №1912	УИК №1913	УИК №1914	УИК №1915	УИК №1916	УИК №1917	УИК №1918	УИК №1919	УИК №1920	УИК №1921	УИК №1922	УИК №1923	УИК №1924	УИК №1925	УИК №1926	УИК №1927	УИК №1928	УИК №1929	УИК №1930	УИК №1931	УИК №1932	УИК №1933	УИК №1934	УИК №1935	УИК №1936	УИК №1937	УИК №1938	УИК №1939	УИК №1940	УИК №1941	УИК №1942	УИК №1943	УИК №1944	УИК №1945	УИК №1946	УИК №1947	УИК №1948	УИК №1949	УИК №1950	УИК №1951	УИК №1952	УИК №1953	УИК №1954	УИК №1955	УИК №1956	УИК №1957	УИК №1958	УИК №1959	УИК №1960	УИК №1961	УИК №1962	УИК №2449	УИК №2518	УИК №2586					
1	"Число избирателей, внесенных в списки"	64762	2672	2687	2568	2567	1047	374	71	752	221	415	717	763	1645	1768	866	1487	1083	460	1720	2306	1466	1522	1443	729	588	689	1317	1643	193	127	681	169	147	108	156	393	1786	2785	1856	453	419	1346	672	1103	591	745	679	294	305	1156	220	758	446	1684	87	73	169	893	92	762	249	291	1302	146	188	299	1509	257	676	550	440	139	524	96	117	466	211	368					
2	"Число бюллетеней, полученных участковыми комиссиями"	64609	2693	2725	2556	2536	1054	374	73	741	220	409	725	769	1633	1770	856	1487	1083	457	1729	2290	1482	1514	1423	729	573	695	1386	1643	195	128	682	167	151	107	155	393	1775	2779	1858	454	428	1368	662	1107	594	745	683	289	312	1150	219	752	445	1660	86	72	171	892	94	755	247	288	1285	147	188	296	1479	244	649	547	420	122	507	98	106	455	212	366					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	35060	1519	1355	1666	1443	582	194	60	457	163	291	355	312	744	814	383	700	475	313	900	1111	756	675	641	499	388	304	442	666	145	80	489	139	111	81	81	265	937	1199	773	244	230	731	389	670	355	473	383	201	178	882	140	489	301	1011	38	27	85	605	69	493	184	231	729	97	168	203	594	177	423	320	280	117	208	94	95	324	131	183					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	4580	257	61	221	189	147	73	9	106	22	30	122	190	84	113	59	134	53	34	154	176	96	108	61	28	20	56	76	91	26	22	68	5	20	5	47	27	58	226	106	66	27	18	16	92	35	88	7	15	41	23	19	0	10	87	25	22	35	39	8	47	24	5	137	22	0	28	19	13	20	27	22	0	95	0	0	0	8	60					
6	Число погашенных бюллетеней	24967	917	1309	669	904	325	107	4	178	35	88	248	267	805	843	414	653	555	110	675	1003	630	731	721	202	165	335	868	886	24	26	125	23	20	21	27	101	780	1354	979	144	171	619	257	345	204	184	293	73	93	245	60	263	134	562	23	23	51	248	17	215	39	52	419	28	20	65	866	54	206	200	118	5	202	4	11	131	73	123					
7	Число бюллетеней в переносных ящиках для голосования	4580	257	61	221	189	147	73	9	106	22	30	122	190	84	113	59	134	53	34	154	176	96	108	61	28	20	56	76	91	26	22	68	5	20	5	47	27	58	226	106	66	27	18	16	92	35	88	7	15	41	23	19	0	10	87	25	22	35	39	8	47	24	5	137	22	0	28	19	13	20	27	22	0	95	0	0	0	8	60					
8	Число бюллетеней в стационарных ящиках для голосования	35057	1519	1355	1666	1443	582	194	60	457	163	291	355	312	744	814	383	700	475	313	900	1110	756	675	641	499	388	304	442	666	145	80	489	139	111	80	81	265	937	1198	773	244	230	731	389	670	355	473	383	201	178	882	140	489	301	1011	38	27	85	605	69	493	184	231	729	97	168	203	594	177	423	320	280	117	208	94	95	324	131	183					
9	Число недействительных бюллетеней	604	9	19	0	0	1	15	0	14	5	13	6	3	28	15	2	20	11	5	12	11	33	21	7	12	17	4	10	6	0	1	8	0	0	1	0	0	16	23	7	2	5	9	4	1	0	2	3	4	9	0	4	12	4	32	0	0	4	9	0	13	1	1	9	0	0	6	24	0	6	5	27	0	3	0	1	44	2	3					
10	Число действительных бюллетеней	39033	1767	1397	1887	1632	728	252	69	549	180	308	471	499	800	912	440	814	517	342	1042	1275	819	762	695	515	391	356	508	751	171	101	549	144	131	84	128	292	979	1401	872	308	252	740	401	761	390	559	387	212	210	905	155	477	307	1066	63	49	116	635	77	527	207	235	857	119	168	225	589	190	437	342	275	117	300	94	94	280	137	240					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1499	50	54	50	50	30	10	10	15	10	10	15	15	30	30	15	30	30	10	30	50	30	30	30	15	15	15	30	30	10	10	15	10	10	10	10	10	30	50	30	10	10	30	15	30	15	15	15	10	10	30	10	15	10	30	10	10	10	15	10	15	10	10	30	10	10	10	30	10	15	15	15	10	15	10	10	10	10	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	157	7	6	5	8	1	0	0	3	2	2	2	1	8	11	5	7	5	0	4	4	5	1	4	2	1	2	12	5	0	0	6	0	0	0	0	1	0	5	1	2	2	1	3	5	0	2	1	0	0	2	0	2	0	2	0	0	0	0	0	1	0	0	3	1	0	0	2	0	0	1	0	0	0	0	0	1	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	136	1	4	8	3	4	0	0	2	3	3	0	2	2	5	2	5	5	0	0	2	5	1	6	2	3	5	3	3	0	0	4	0	0	0	0	0	0	0	1	3	1	1	2	1	0	0	0	0	0	2	0	4	1	4	1	0	2	3	0	3	3	0	2	1	1	2	2	0	2	0	4	0	2	0	0	3	0	2					
14	Число погашенных открепительных удостоверений	1342	43	48	45	42	29	10	10	12	8	8	13	14	22	19	10	23	25	10	26	46	25	29	26	13	14	13	18	25	10	10	9	10	10	10	10	9	30	45	29	8	8	29	12	25	15	13	14	10	10	28	10	13	10	28	10	10	10	15	10	14	10	10	27	9	10	10	28	10	15	14	15	10	15	10	10	9	10	10					
15	Число открепительных удостоверений выданных ТИК	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																					
18	"1. ""ЕДИНЕНИЕ"""	538	7	15	20	19	9	10	2	9	1	8	11	8	9	17	4	18	16	2	8	8	6	20	13	7	5	4	3	8	1	0	7	9	3	0	3	0	19	17	11	4	6	11	8	0	1	0	0	6	0	7	3	17	6	13	2	2	2	7	1	17	5	5	7	1	4	3	22	3	11	6	4	0	11	0	0	0	0	6					
		1.35%	0.39%	1.05%	1.05%	1.16%	1.23%	3.74%	2.89%	1.59%	0.54%	2.49%	2.30%	1.59%	1.08%	1.83%	0.90%	2.15%	3.03%	0.57%	0.75%	0.62%	0.70%	2.55%	1.85%	1.32%	1.22%	1.11%	0.57%	1.05%	0.58%	0.0%	1.25%	6.25%	2.29%	0.0%	2.34%	0.0%	1.90%	1.19%	1.25%	1.29%	2.33%	1.46%	1.97%	0.0%	0.25%	0.0%	0.0%	2.77%	0.0%	0.77%	1.88%	3.47%	1.92%	1.18%	3.17%	4.08%	1.66%	1.08%	1.29%	3.14%	2.40%	2.11%	0.80%	0.84%	2.38%	1.29%	3.58%	1.57%	2.48%	1.72%	1.32%	0.0%	3.63%	0.0%	0.0%	0.0%	0.0%	2.46%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	764	23	34	32	27	13	8	1	24	5	1	29	13	8	25	4	24	7	4	13	25	16	20	18	13	9	5	15	12	3	0	8	0	2	0	0	3	16	20	11	4	5	19	6	13	4	7	11	3	0	3	3	1	0	14	2	0	1	2	1	8	0	5	72	2	3	5	8	10	11	6	17	4	14	0	3	0	0	6					
		1.92%	1.29%	2.40%	1.69%	1.65%	1.78%	2.99%	1.44%	4.26%	2.70%	0.31%	6.07%	2.58%	0.96%	2.69%	0.90%	2.87%	1.32%	1.15%	1.23%	1.94%	1.87%	2.55%	2.56%	2.46%	2.20%	1.38%	2.89%	1.58%	1.75%	0.0%	1.43%	0.0%	1.52%	0.0%	0.0%	1.02%	1.60%	1.40%	1.25%	1.29%	1.94%	2.53%	1.48%	1.70%	1.02%	1.24%	2.82%	1.38%	0.0%	0.33%	1.88%	0.20%	0.0%	1.27%	3.17%	0.0%	0.83%	0.31%	1.29%	1.48%	0.0%	2.11%	8.31%	1.68%	1.78%	2.16%	1.30%	5.26%	2.48%	1.72%	5.62%	3.41%	4.62%	0.0%	3.15%	0.0%	0.0%	2.46%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	1162	109	99	94	69	12	6	0	18	4	8	11	17	23	23	16	21	16	6	24	37	24	17	25	16	25	22	6	18	3	4	8	0	2	0	2	11	33	29	40	10	3	14	16	11	12	0	3	4	5	5	6	7	0	8	0	0	1	16	2	5	0	3	11	1	6	2	18	1	11	17	22	6	25	0	9	0	0	4					
		2.93%	6.13%	6.99%	4.98%	4.22%	1.64%	2.24%	0.0%	3.19%	2.16%	2.49%	2.30%	3.38%	2.77%	2.48%	3.61%	2.51%	3.03%	1.72%	2.27%	2.87%	2.81%	2.17%	3.56%	3.03%	6.12%	6.11%	1.15%	2.37%	1.75%	3.92%	1.43%	0.0%	1.52%	0.0%	1.56%	3.76%	3.31%	2.03%	4.55%	3.22%	1.16%	1.86%	3.95%	1.44%	3.07%	0.0%	0.76%	1.85%	2.28%	0.55%	3.77%	1.43%	0.0%	0.72%	0.0%	0.0%	0.83%	2.48%	2.59%	0.92%	0.0%	1.27%	1.27%	0.84%	3.57%	0.86%	2.93%	0.52%	2.48%	4.89%	7.28%	5.12%	8.25%	0.0%	9.47%	0.0%	0.0%	1.64%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	851	17	36	30	17	12	2	0	5	0	3	10	4	36	21	16	24	14	3	17	33	27	21	15	26	5	4	7	13	2	4	30	0	1	0	0	3	23	47	33	19	4	46	28	18	6	15	16	4	7	14	3	17	4	12	0	0	1	4	0	6	0	1	9	2	1	6	5	0	12	8	9	0	3	0	4	0	0	6					
		2.14%	0.95%	2.54%	1.58%	1.04%	1.64%	0.74%	0.0%	0.88%	0.0%	0.93%	2.09%	0.79%	4.34%	2.26%	3.61%	2.87%	2.65%	0.86%	1.61%	2.56%	3.16%	2.68%	2.13%	4.93%	1.22%	1.11%	1.35%	1.71%	1.16%	3.92%	5.38%	0.0%	0.76%	0.0%	0.0%	1.02%	2.31%	3.30%	3.75%	6.12%	1.55%	6.14%	6.91%	2.36%	1.53%	2.67%	4.10%	1.85%	3.19%	1.54%	1.88%	3.47%	1.28%	1.09%	0.0%	0.0%	0.83%	0.62%	0.0%	1.11%	0.0%	0.42%	1.03%	1.68%	0.59%	2.59%	0.81%	0.0%	2.70%	2.30%	2.98%	0.0%	0.99%	0.0%	4.21%	0.0%	0.0%	2.46%					
22	"5. ""За Русь Святую"""	174	3	7	7	7	0	3	2	0	0	1	3	2	3	3	3	4	3	0	7	7	3	8	7	0	5	1	2	3	2	0	0	1	0	0	0	0	10	11	2	0	2	3	7	0	2	0	0	0	0	4	1	0	0	5	0	0	0	1	0	0	0	1	7	0	0	1	5	2	2	4	4	0	2	0	0	0	0	1					
		0.43%	0.16%	0.49%	0.37%	0.42%	0.0%	1.12%	2.89%	0.0%	0.0%	0.31%	0.62%	0.39%	0.36%	0.32%	0.67%	0.47%	0.56%	0.0%	0.66%	0.54%	0.35%	1.02%	0.99%	0.0%	1.22%	0.27%	0.38%	0.39%	1.16%	0.0%	0.0%	0.69%	0.0%	0.0%	0.0%	0.0%	1.00%	0.77%	0.22%	0.0%	0.77%	0.40%	1.72%	0.0%	0.51%	0.0%	0.0%	0.0%	0.0%	0.44%	0.62%	0.0%	0.0%	0.45%	0.0%	0.0%	0.0%	0.15%	0.0%	0.0%	0.0%	0.42%	0.80%	0.0%	0.0%	0.43%	0.81%	1.05%	0.45%	1.15%	1.32%	0.0%	0.66%	0.0%	0.0%	0.0%	0.0%	0.41%					
23	"6. ""Объединенная Российская партия ""Русь"""	100	4	10	3	2	0	1	0	1	5	1	0	1	1	2	0	6	0	0	0	3	2	3	4	0	0	4	0	0	0	0	4	1	1	0	0	0	0	3	0	2	1	4	1	0	0	0	0	0	0	3	1	0	0	4	0	0	0	1	0	3	0	2	3	0	0	0	2	2	4	1	2	0	2	0	0	0	0	0					
		0.25%	0.22%	0.70%	0.15%	0.12%	0.0%	0.37%	0.0%	0.17%	2.70%	0.31%	0.0%	0.19%	0.12%	0.21%	0.0%	0.71%	0.0%	0.0%	0.0%	0.23%	0.23%	0.38%	0.56%	0.0%	0.0%	1.11%	0.0%	0.0%	0.0%	0.0%	0.71%	0.69%	0.76%	0.0%	0.0%	0.0%	0.0%	0.21%	0.0%	0.64%	0.38%	0.53%	0.24%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.33%	0.62%	0.0%	0.0%	0.36%	0.0%	0.0%	0.0%	0.15%	0.0%	0.55%	0.0%	0.84%	0.34%	0.0%	0.0%	0.0%	0.32%	1.05%	0.90%	0.28%	0.66%	0.0%	0.66%	0.0%	0.0%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	283	5	11	9	10	5	0	0	0	0	1	4	6	8	11	4	11	6	0	11	12	9	6	11	9	3	5	7	8	0	0	6	0	1	0	1	1	6	17	1	5	0	5	1	0	4	0	0	1	0	4	7	6	0	6	0	0	0	3	0	5	0	0	2	1	0	2	6	1	6	4	2	0	4	0	0	0	0	3					
		0.71%	0.28%	0.77%	0.47%	0.61%	0.68%	0.0%	0.0%	0.0%	0.0%	0.31%	0.83%	1.19%	0.96%	1.18%	0.90%	1.31%	1.13%	0.0%	1.04%	0.93%	1.05%	0.76%	1.56%	1.70%	0.73%	1.38%	1.35%	1.05%	0.0%	0.0%	1.07%	0.0%	0.76%	0.0%	0.78%	0.34%	0.60%	1.19%	0.11%	1.61%	0.0%	0.66%	0.24%	0.0%	1.02%	0.0%	0.0%	0.46%	0.0%	0.44%	4.40%	1.22%	0.0%	0.54%	0.0%	0.0%	0.0%	0.46%	0.0%	0.92%	0.0%	0.0%	0.23%	0.84%	0.0%	0.86%	0.97%	0.52%	1.35%	1.15%	0.66%	0.0%	1.32%	0.0%	0.0%	0.0%	0.0%	1.23%					
25	"8. ""Народно-республиканская партия России"""	71	6	3	3	9	0	0	0	0	0	0	0	1	1	0	0	2	0	2	1	1	1	2	0	2	0	0	1	0	0	0	1	0	1	0	0	0	1	5	0	0	0	0	0	0	1	0	0	1	0	4	0	0	0	1	0	0	1	2	0	1	0	0	1	0	0	0	1	4	3	0	4	0	1	0	0	0	0	3					
		0.17%	0.33%	0.21%	0.15%	0.55%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.19%	0.12%	0.0%	0.0%	0.23%	0.0%	0.57%	0.09%	0.07%	0.11%	0.25%	0.0%	0.37%	0.0%	0.0%	0.19%	0.0%	0.0%	0.0%	0.17%	0.0%	0.76%	0.0%	0.0%	0.0%	0.10%	0.35%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.25%	0.0%	0.0%	0.46%	0.0%	0.44%	0.0%	0.0%	0.0%	0.09%	0.0%	0.0%	0.83%	0.31%	0.0%	0.18%	0.0%	0.0%	0.11%	0.0%	0.0%	0.0%	0.16%	2.10%	0.67%	0.0%	1.32%	0.0%	0.33%	0.0%	0.0%	0.0%	0.0%	1.23%					
26	"9. ""Российская экологическая партия ""Зеленые"""	74	0	4	0	4	0	0	0	1	0	1	2	0	1	0	2	2	1	0	8	0	5	5	3	1	0	2	0	1	0	0	0	0	0	0	0	0	3	1	3	0	1	0	2	0	2	0	0	1	0	1	0	0	0	1	0	0	0	0	0	2	0	0	2	0	0	0	2	0	2	1	2	0	0	0	3	0	0	2					
		0.18%	0.0%	0.28%	0.0%	0.24%	0.0%	0.0%	0.0%	0.17%	0.0%	0.31%	0.41%	0.0%	0.12%	0.0%	0.45%	0.23%	0.18%	0.0%	0.75%	0.0%	0.58%	0.63%	0.42%	0.18%	0.0%	0.55%	0.0%	0.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.30%	0.07%	0.34%	0.0%	0.38%	0.0%	0.49%	0.0%	0.51%	0.0%	0.0%	0.46%	0.0%	0.11%	0.0%	0.0%	0.0%	0.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.37%	0.0%	0.0%	0.23%	0.0%	0.0%	0.0%	0.32%	0.0%	0.45%	0.28%	0.66%	0.0%	0.0%	0.0%	3.15%	0.0%	0.0%	0.82%					
27	"10. ""Аграрная партия России"""	1224	27	30	30	20	20	7	2	26	8	30	22	24	10	30	10	69	41	12	38	33	19	24	26	25	6	5	10	25	1	4	26	5	7	0	3	17	44	71	29	8	16	20	18	0	8	5	7	6	7	41	4	5	17	38	0	2	8	18	1	12	4	9	18	3	11	10	17	6	16	11	13	3	15	3	0	0	0	8					
		3.08%	1.52%	2.11%	1.58%	1.22%	2.74%	2.62%	2.89%	4.61%	4.32%	9.34%	4.61%	4.78%	1.20%	3.23%	2.26%	8.27%	7.76%	3.45%	3.60%	2.56%	2.23%	3.06%	3.70%	4.74%	1.47%	1.38%	1.93%	3.30%	0.58%	3.92%	4.66%	3.47%	5.34%	0.0%	2.34%	5.82%	4.42%	4.98%	3.29%	2.58%	6.22%	2.67%	4.44%	0.0%	2.05%	0.89%	1.79%	2.77%	3.19%	4.53%	2.51%	1.02%	5.46%	3.46%	0.0%	4.08%	6.66%	2.79%	1.29%	2.22%	1.92%	3.81%	2.07%	2.52%	6.54%	4.32%	2.77%	3.15%	3.61%	3.17%	4.30%	2.56%	4.95%	3.19%	0.0%	0.0%	0.0%	3.29%					
28	"11. ""Истинные патриоты России"""	31	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	1	0	2	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	3	0	1	0	1	0	3	0	0	0	1	0	0	0	1	0	0	2	0	0	2	0	0	0	0	1	0	0	0	0	0					
		0.07%	0.0%	0.07%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.36%	0.0%	0.0%	0.0%	0.18%	0.28%	0.0%	0.15%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.38%	0.0%	1.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.16%	0.13%	0.0%	0.0%	0.0%	0.0%	0.0%	1.38%	0.0%	0.11%	0.0%	0.20%	0.0%	0.27%	0.0%	0.0%	0.0%	0.15%	0.0%	0.0%	0.0%	0.42%	0.0%	0.0%	1.19%	0.0%	0.0%	1.05%	0.0%	0.0%	0.0%	0.0%	0.33%	0.0%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	451	15	15	8	15	7	3	0	4	2	7	6	12	9	17	4	4	1	6	21	11	18	13	15	8	3	9	20	18	0	0	5	2	0	0	0	0	17	28	11	2	5	15	7	0	7	0	0	3	0	8	2	8	3	8	0	1	0	2	0	7	7	1	8	1	0	3	8	2	1	3	0	0	4	0	0	0	0	1					
		1.13%	0.84%	1.05%	0.42%	0.91%	0.96%	1.12%	0.0%	0.71%	1.08%	2.18%	1.25%	2.39%	1.08%	1.83%	0.90%	0.47%	0.18%	1.72%	1.99%	0.85%	2.11%	1.66%	2.13%	1.51%	0.73%	2.5%	3.86%	2.37%	0.0%	0.0%	0.89%	1.38%	0.0%	0.0%	0.0%	0.0%	1.70%	1.96%	1.25%	0.64%	1.94%	2.00%	1.72%	0.0%	1.79%	0.0%	0.0%	1.38%	0.0%	0.88%	1.25%	1.63%	0.96%	0.72%	0.0%	2.04%	0.0%	0.31%	0.0%	1.29%	3.36%	0.42%	0.92%	0.84%	0.0%	1.29%	1.30%	1.05%	0.22%	0.86%	0.0%	0.0%	1.32%	0.0%	0.0%	0.0%	0.0%	0.41%					
30	"13. ""Демократическая партия России"""	98	1	5	5	7	0	3	0	0	1	0	1	0	3	1	0	0	0	2	0	4	2	2	0	1	0	1	1	0	0	0	2	0	0	1	0	0	6	6	3	2	4	5	0	0	0	0	1	1	0	2	0	1	0	2	0	0	0	1	0	0	0	0	7	0	0	2	2	2	1	0	4	0	1	1	0	0	0	1					
		0.24%	0.05%	0.35%	0.26%	0.42%	0.0%	1.12%	0.0%	0.0%	0.54%	0.0%	0.20%	0.0%	0.36%	0.10%	0.0%	0.0%	0.0%	0.57%	0.0%	0.31%	0.23%	0.25%	0.0%	0.18%	0.0%	0.27%	0.19%	0.0%	0.0%	0.0%	0.35%	0.0%	0.0%	1.17%	0.0%	0.0%	0.60%	0.42%	0.34%	0.64%	1.55%	0.66%	0.0%	0.0%	0.0%	0.0%	0.25%	0.46%	0.0%	0.22%	0.0%	0.20%	0.0%	0.18%	0.0%	0.0%	0.0%	0.15%	0.0%	0.0%	0.0%	0.0%	0.80%	0.0%	0.0%	0.86%	0.32%	1.05%	0.22%	0.0%	1.32%	0.0%	0.33%	1.06%	0.0%	0.0%	0.0%	0.41%					
31	"14. ""Великая Россия - Евразийский Союз"""	78	1	1	0	1	0	1	0	0	0	0	1	0	7	2	0	0	0	2	0	3	0	4	2	2	0	3	1	1	0	1	2	1	0	0	0	0	4	5	2	0	0	3	1	0	2	0	0	0	0	1	0	0	0	9	0	0	0	2	1	1	0	1	3	0	1	0	4	0	1	1	0	0	0	0	0	0	0	0					
		0.19%	0.05%	0.07%	0.0%	0.06%	0.0%	0.37%	0.0%	0.0%	0.0%	0.0%	0.20%	0.0%	0.84%	0.21%	0.0%	0.0%	0.0%	0.57%	0.0%	0.23%	0.0%	0.51%	0.28%	0.37%	0.0%	0.83%	0.19%	0.13%	0.0%	0.98%	0.35%	0.69%	0.0%	0.0%	0.0%	0.0%	0.40%	0.35%	0.22%	0.0%	0.0%	0.40%	0.24%	0.0%	0.51%	0.0%	0.0%	0.0%	0.0%	0.11%	0.0%	0.0%	0.0%	0.81%	0.0%	0.0%	0.0%	0.31%	1.29%	0.18%	0.0%	0.42%	0.34%	0.0%	0.59%	0.0%	0.65%	0.0%	0.22%	0.28%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	31	1	0	0	2	1	0	0	0	0	0	0	0	0	1	1	0	0	0	2	2	0	0	1	0	0	0	4	1	0	0	0	2	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	1	1	2	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0					
		0.07%	0.05%	0.0%	0.0%	0.12%	0.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.10%	0.22%	0.0%	0.0%	0.0%	0.18%	0.15%	0.0%	0.0%	0.14%	0.0%	0.0%	0.0%	0.77%	0.13%	0.0%	0.0%	0.0%	1.38%	0.0%	0.0%	0.0%	0.0%	0.0%	0.14%	0.0%	0.0%	0.0%	0.13%	0.24%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.11%	0.62%	0.40%	0.0%	0.0%	0.0%	0.0%	0.0%	0.15%	0.0%	0.18%	0.0%	0.0%	0.11%	0.0%	0.0%	0.0%	0.16%	0.0%	0.0%	0.28%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	2362	61	67	73	70	25	5	4	16	0	14	27	21	65	73	49	36	24	13	70	122	91	86	69	53	33	30	39	50	1	9	22	0	2	0	13	14	134	158	112	26	17	66	37	39	16	8	13	17	9	29	3	60	10	46	5	0	3	23	1	16	10	6	39	0	9	10	16	2	23	7	6	2	4	0	1	17	5	10					
