Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																		
Дата голосования: 07.12.2003 0:00:00																																																		
																																																		
Наименование Избирательной комиссии:    Чистоозерная																																																		
																																																		
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																		
																																																		
		Сумма	УИК  1194	УИК  1195	УИК  1196	УИК  1197	УИК  1198	УИК  1199	УИК  1200	УИК  1201	УИК  1202	УИК  1203	УИК  1204	УИК  1205	УИК  1206	УИК  1207	УИК  1208	УИК  1209	УИК  1210	УИК  1211	УИК  1212	УИК  1213	УИК  1214	УИК  1215	УИК  1216	УИК  1217	УИК  1218	УИК  1219	УИК  1220	УИК  1221	УИК  1222	УИК  1223	УИК  1224	УИК  1225	УИК  1226	УИК  1227	УИК  1228	УИК  1229	УИК  1230	УИК  1231	УИК  1232	УИК  1233	УИК  1234	УИК  1235	УИК  1236					
1	"Число избирателей, внесенных в списки"	15976	376	1084	1247	1375	1169	1144	135	63	393	69	305	838	530	475	148	38	559	32	220	420	390	130	457	142	71	434	75	459	561	389	73	303	114	243	47	350	521	110	52	251	75	80	29					
2	"Число бюллетеней, полученных участковыми комиссиями"	15553	364	1008	1135	1295	1101	1088	134	70	390	69	304	832	517	468	159	36	553	33	213	416	388	135	461	150	71	429	73	456	553	389	73	303	114	242	47	351	516	109	52	251	72	104	29					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	10302	240	503	687	636	601	674	91	60	270	54	255	535	383	314	116	35	379	27	151	241	244	88	353	118	57	350	63	306	401	286	58	273	100	216	47	254	359	75	46	188	60	80	28					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	364	12	9	26	61	33	37	6	3	18	0	0	34	5	0	2	0	0	0	0	22	10	14	0	0	0	26	0	0	13	21	0	12	0	0	0	0	0	0	0	0	0	0	0					
6	Число погашенных бюллетеней	4887	112	496	422	598	467	377	37	7	102	15	49	263	129	154	41	1	174	6	62	153	134	33	108	32	14	53	10	150	139	82	15	18	14	26	0	97	157	34	6	63	12	24	1					
7	Число бюллетеней в переносных ящиках для голосования	364	12	9	26	61	33	37	6	3	18	0	0	34	5	0	2	0	0	0	0	22	10	14	0	0	0	26	0	0	13	21	0	12	0	0	0	0	0	0	0	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	10299	240	503	687	636	601	674	91	60	270	54	255	535	383	314	116	35	379	27	151	241	244	88	351	118	57	350	63	306	400	286	58	273	100	216	47	254	359	75	46	188	60	80	28					
9	Число недействительных бюллетеней	210	2	10	32	9	16	12	7	0	0	0	10	23	9	4	5	0	0	0	2	4	5	2	0	1	0	0	0	3	15	3	0	5	4	1	1	3	19	0	1	2	0	0	0					
10	Число действительных бюллетеней	10453	250	502	681	688	618	699	90	63	288	54	245	546	379	310	113	35	379	27	149	259	249	100	351	117	57	376	63	303	398	304	58	280	96	215	46	251	340	75	45	186	60	80	28					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	100	1	7	11	11	11	11	5	4	1	1	2	1	4	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	37	0	6	5	1	6	7	0	0	0	0	1	0	4	0	1	0	0	1	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	16	0	2	0	0	0	0	1	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	1	0	1	0	0	0	2	0	0	1	0	0	1	0	0	0					
14	Число погашенных открепительных удостоверений	63	1	1	6	10	5	4	5	4	1	1	1	1	0	1	0	0	1	0	1	0	0	1	0	1	1	1	1	0	1	1	1	1	1	1	1	2	0	1	1	1	1	1	1					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																		
18	"1. ""ЕДИНЕНИЕ"""	165	2	3	7	10	4	15	0	3	7	1	0	4	2	1	3	0	11	0	3	6	7	0	11	0	5	6	0	8	5	6	2	2	3	1	0	4	9	5	0	5	0	4	0					
