Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																	
Дата голосования: 07.12.2003 0:00:00																																																																																	
																																																																																	
"Наименование Избирательной комиссии:    Саратов, Заводская"																																																																																	
																																																																																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																	
																																																																																	
		Сумма	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170	УИК №1171	УИК №1172	УИК №1173	УИК №1174	УИК №1175	УИК №1176	УИК №1177	УИК №1178	УИК №1179	УИК №1180	УИК №1181	УИК №1182	УИК №1183	УИК №1184	УИК №1185	УИК №1186	УИК №1187	УИК №1188	УИК №1189	УИК №1190	УИК №1191	УИК №1192	УИК №1193	УИК №1194	УИК №1195	УИК №1196	УИК №1197	УИК №1198	УИК №1199	УИК №1200	УИК №1201	УИК №1202	УИК №1203	УИК №1204	УИК №1205	УИК №1206	УИК №1207	УИК №1208	УИК №1209					
1	"Число избирателей, внесенных в списки"	154985	2032	2027	2115	1867	110	1641	1389	1427	2326	2431	702	2296	2311	2275	2326	2477	2303	2367	2204	2408	2512	2694	2125	2093	2266	119	2229	2125	881	2523	2278	2498	563	2410	2670	2392	1188	1348	1373	2683	2571	162	2367	2132	1975	2067	2564	2961	1916	2210	2341	2944	2813	2879	2608	3063	2737	545	2595	2687	2658	2725	205	2953	2904	2869	2003	2616	2741	2652	1550	1255	1788	1925					
2	"Число бюллетеней, полученных участковыми комиссиями"	150562	2000	2000	2000	1900	110	1600	1300	1300	2300	2400	700	2200	2300	2000	2200	2400	2300	2300	2200	2400	2400	2700	2000	2000	2200	120	2200	2100	800	2400	2100	2400	500	2297	2500	2400	1800	1300	1300	2600	2500	165	2300	2100	1900	2000	2500	2800	1800	2100	2300	2900	2800	2800	2500	2600	2700	562	2600	2500	2600	2700	209	2900	2900	2800	2000	2600	2700	2600	1500	1200	1700	1699					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	77588	1033	1138	1040	899	110	385	651	757	1229	1157	285	1182	1355	1447	1197	1263	1193	1252	1182	1419	1397	1421	1286	1128	1197	119	1273	1179	288	1215	1166	1292	259	899	1482	1270	1019	582	677	1216	1247	147	1171	1012	1021	1092	1424	1284	1138	1066	1280	1115	1251	1340	1117	1612	1354	523	1130	1147	1318	1183	201	1374	1432	1259	951	1342	1382	1225	793	539	806	773					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2996	29	42	29	31	0	70	20	30	49	76	31	19	40	21	30	44	77	27	30	21	28	47	25	58	21	0	47	35	72	62	87	33	49	50	64	26	31	62	37	84	67	15	27	29	34	36	37	28	23	41	15	71	59	22	47	74	59	22	26	48	52	34	4	25	35	39	40	41	64	90	8	30	70	50					
6	Число погашенных бюллетеней	69714	918	820	931	970	0	1145	627	513	1022	1167	384	958	905	532	973	1093	1030	1021	988	960	975	1232	689	814	982	1	880	886	440	1123	847	1075	192	1348	954	1104	750	656	586	1300	1186	3	1102	1059	845	872	1039	1488	639	993	1005	1714	1490	1438	1336	914	1287	17	1344	1305	1230	1483	4	1501	1433	1502	1008	1117	1254	1285	699	631	824	876					
7	Число бюллетеней в переносных ящиках для голосования	2994	29	42	29	31	0	70	20	30	49	75	31	19	40	21	30	44	77	27	30	21	28	47	25	58	21	0	47	35	72	62	87	33	49	50	64	26	31	62	37	84	67	15	27	29	34	36	37	28	23	41	15	71	59	22	47	74	59	21	26	48	52	34	4	25	35	39	40	41	64	90	8	30	70	50					
8	Число бюллетеней в стационарных ящиках для голосования	77460	1033	1087	1040	898	108	385	650	757	1226	1157	285	1182	1355	1447	1188	1262	1190	1252	1180	1419	1397	1421	1286	1126	1197	119	1273	1179	288	1214	1166	1292	259	899	1482	1270	1009	582	674	1213	1247	147	1171	1012	1021	1092	1424	1282	1138	1066	1280	1115	1251	1340	1117	1606	1354	524	1123	1141	1316	1178	201	1371	1433	1259	951	1336	1382	1225	793	539	806	772					
9	Число недействительных бюллетеней	1426	11	17	15	10	0	7	20	7	17	15	12	11	22	12	15	24	26	23	19	21	21	20	31	37	22	0	26	15	13	23	25	24	12	28	32	27	21	16	21	27	12	9	22	21	13	32	9	40	24	10	20	24	23	24	17	19	28	14	19	29	23	27	9	18	16	28	13	24	34	22	15	6	24	13					
10	Число действительных бюллетеней	79028	1051	1112	1054	919	108	448	650	780	1258	1217	304	1190	1373	1456	1203	1282	1241	1256	1191	1419	1404	1448	1280	1147	1196	119	1294	1199	347	1253	1228	1301	296	921	1514	1269	1019	628	690	1270	1302	153	1176	1020	1042	1096	1452	1270	1137	1097	1275	1162	1287	1338	1147	1661	1385	531	1130	1160	1345	1185	196	1378	1452	1270	978	1353	1412	1293	786	563	852	809					
