Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																		
Дата голосования: 18.09.2016																																																		
																																																		
Наименование Избирательной комиссии:    Вытегорская																																																		
																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																		
																																																		
		Сумма	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	21263	1646	1075	1728	1807	1769	243	218	847	111	175	465	187	53	105	113	210	65	212	315	999	170	80	495	300	656	296	994	1237	957	337	488	131	100	580	942	185	238	542	192									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	21485	1640	1095	1750	1830	1790	235	215	835	110	180	465	195	55	100	115	215	65	220	360	1005	200	75	500	305	660	290	995	1230	945	335	490	135	105	595	970	185	235	570	190									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7190	672	323	587	512	620	83	52	297	52	67	163	60	23	37	52	81	34	50	139	325	79	43	188	128	266	81	298	365	278	119	156	68	43	130	275	106	79	177	82									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1024	29	7	49	33	38	1	11	46	6	9	48	28	6	16	10	20	5	46	33	45	30	9	18	15	25	42	38	31	34	16	27	10	17	57	73	3	17	52	24									
6	Число погашенных избирательных бюллетеней	13271	939	765	1114	1285	1132	151	152	492	52	104	254	107	26	47	53	114	26	124	188	635	91	23	294	162	369	167	659	834	633	200	307	57	45	408	622	76	139	341	84									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1024	29	7	49	33	38	1	11	46	6	9	48	28	6	16	10	20	5	46	33	45	30	9	18	15	25	42	38	31	34	16	27	10	17	57	73	3	17	52	24									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7190	672	323	587	512	620	83	52	297	52	67	163	60	23	37	52	81	34	50	139	325	79	43	188	128	266	81	298	365	278	119	156	68	43	130	275	106	79	177	82									
9	Число недействительных избирательных бюллетеней	185	14	8	12	11	17	5	2	11	3	4	8	2	0	2	2	1	1	2	2	2	3	1	4	6	4	1	8	10	3	4	4	0	2	3	9	3	2	8	1									
10	Число действительных избирательных бюллетеней	8029	687	322	624	534	641	79	61	332	55	72	203	86	29	51	60	100	38	94	170	368	106	51	202	137	287	122	328	386	309	131	179	78	58	184	339	106	94	221	105									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	284	15	15	15	15	15	5	5	10	1	1	5	6	1	1	10	5	5	5	5	10	15	2	11	2	6	6	10	10	10	5	10	5	5	5	15	2	2	8	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	179	11	12	14	13	15	0	0	3	0	0	0	6	1	0	8	3	3	2	5	4	15	0	5	2	0	0	1	1	0	0	10	5	5	5	15	2	0	8	5									
