Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																	
Дата голосования: 07.12.2003 0:00:00																																	
																																	
Наименование Избирательной комиссии:    Хилокский район																																	
																																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																	
																																	
		Сумма	УИК  288	УИК  289	УИК  290	УИК  291	УИК  292	УИК  293	УИК  294	УИК  295	УИК  296	УИК  297	УИК  298	УИК  299	УИК  300	УИК  301	УИК  302	УИК  303	УИК  304	УИК  305	УИК  306	УИК  307	УИК  308	УИК  309	УИК  310	УИК  311	УИК  312	УИК  313					
1	"Число избирателей, внесенных в списки"	24205	2258	2101	1325	1932	1440	124	454	1253	1506	1018	212	151	286	974	1966	612	153	159	1427	110	932	1061	872	779	999	101					
2	"Число бюллетеней, полученных участковыми комиссиями"	24461	2300	2100	1290	1940	1445	120	448	1320	1680	1200	220	144	300	900	1950	600	158	163	1500	110	900	1090	830	700	950	103					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	10312	827	828	534	673	508	79	261	441	516	495	148	114	172	509	872	343	92	102	684	76	446	465	317	347	380	83					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	674	73	24	24	39	36	0	10	34	46	63	3	0	20	22	43	34	19	6	80	0	33	30	9	21	5	0					
6	Число погашенных бюллетеней	13475	1400	1248	732	1228	901	41	177	845	1118	642	69	30	108	369	1035	223	47	55	736	34	421	595	504	332	565	20					
7	Число бюллетеней в переносных ящиках для голосования	674	73	24	24	39	36	0	10	34	46	63	3	0	20	22	43	34	19	6	80	0	33	30	9	21	5	0					
8	Число бюллетеней в стационарных ящиках для голосования	10308	827	826	534	673	508	79	261	440	516	495	148	114	172	509	871	343	92	102	684	76	446	465	317	347	380	83					
9	Число недействительных бюллетеней	161	8	14	6	8	8	0	4	0	3	5	1	0	4	15	18	13	0	0	13	0	13	15	3	3	7	0					
10	Число действительных бюллетеней	10821	892	836	552	704	536	79	267	474	559	553	150	114	188	516	896	364	111	108	751	76	466	480	323	365	378	83					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	385	25	25	25	25	25	5	10	15	15	40	5	5	5	10	25	10	5	5	20	5	10	15	15	15	15	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	59	5	8	0	7	3	0	6	7	2	4	0	0	1	2	5	0	2	0	1	0	0	2	3	1	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	28	7	2	1	1	2	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	8	0	1	2					
14	Число погашенных открепительных удостоверений	326	20	17	25	18	22	5	4	8	13	36	5	5	4	8	20	10	3	5	19	5	10	13	12	14	15	10					
15	Число открепительных удостоверений выданных ТИК	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																	
18	"1. ""ЕДИНЕНИЕ"""	166	7	10	11	9	7	0	2	5	7	9	0	1	2	9	16	11	3	4	15	2	6	10	3	6	8	3					
		1.51%	0.77%	1.17%	1.97%	1.26%	1.28%	0.0%	0.73%	1.05%	1.24%	1.61%	0.0%	0.87%	1.04%	1.69%	1.75%	2.91%	2.70%	3.70%	1.96%	2.63%	1.25%	2.02%	0.92%	1.63%	2.07%	3.61%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	147	9	9	8	2	1	0	5	14	14	18	3	11	0	4	12	7	0	0	5	1	2	3	3	1	4	11					
		1.33%	1.0%	1.05%	1.43%	0.28%	0.18%	0.0%	1.84%	2.95%	2.49%	3.22%	1.98%	9.64%	0.0%	0.75%	1.31%	1.85%	0.0%	0.0%	0.65%	1.31%	0.41%	0.60%	0.92%	0.27%	1.03%	13.25%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	356	23	24	18	36	13	2	10	10	22	3	5	1	10	15	21	21	1	10	26	0	34	17	6	14	11	3					
		3.24%	2.55%	2.82%	3.22%	5.05%	2.38%	2.53%	3.69%	2.10%	3.91%	0.53%	3.31%	0.87%	5.20%	2.82%	2.29%	5.57%	0.90%	9.25%	3.40%	0.0%	7.09%	3.43%	1.84%	3.80%	2.85%	3.61%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	248	33	32	14	17	18	3	2	16	12	12	4	3	1	10	26	6	3	2	13	0	1	5	5	6	4	0					
		2.25%	3.66%	3.76%	2.50%	2.38%	3.30%	3.79%	0.73%	3.37%	2.13%	2.15%	2.64%	2.63%	0.52%	1.88%	2.84%	1.59%	2.70%	1.85%	1.70%	0.0%	0.20%	1.01%	1.53%	1.63%	1.03%	0.0%					
22	"5. ""За Русь Святую"""	59	4	4	2	1	0	0	0	3	5	5	0	1	1	5	6	5	0	1	2	0	1	8	4	1	0	0					
		0.53%	0.44%	0.47%	0.35%	0.14%	0.0%	0.0%	0.0%	0.63%	0.88%	0.89%	0.0%	0.87%	0.52%	0.94%	0.65%	1.32%	0.0%	0.92%	0.26%	0.0%	0.20%	1.61%	1.22%	0.27%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	27	1	1	2	2	1	0	3	1	0	0	2	0	0	1	3	0	0	0	1	0	3	3	0	0	3	0					
		0.24%	0.11%	0.11%	0.35%	0.28%	0.18%	0.0%	1.10%	0.21%	0.0%	0.0%	1.32%	0.0%	0.0%	0.18%	0.32%	0.0%	0.0%	0.0%	0.13%	0.0%	0.62%	0.60%	0.0%	0.0%	0.77%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	67	10	6	7	8	3	1	0	6	3	8	1	0	0	3	2	2	0	0	1	0	0	1	4	0	1	0					
		0.61%	1.11%	0.70%	1.25%	1.12%	0.55%	1.26%	0.0%	1.26%	0.53%	1.43%	0.66%	0.0%	0.0%	0.56%	0.21%	0.53%	0.0%	0.0%	0.13%	0.0%	0.0%	0.20%	1.22%	0.0%	0.25%	0.0%					
25	"8. ""Народно-республиканская партия России"""	12	1	0	0	0	0	0	0	2	0	0	1	0	1	0	2	0	0	0	2	1	0	1	1	0	0	0					
