Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																					
Дата голосования: 07.12.2003 0:00:00																																																					
																																																					
Наименование Избирательной комиссии:    Железнодорожная городская																																																					
																																																					
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																					
																																																					
		Сумма	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522					
1	"Число избирателей, внесенных в списки"	92706	408	1770	1354	2446	2628	1324	1523	2091	1461	2341	2387	2040	2272	2308	2027	117	2515	1652	1862	2023	2099	2504	2304	2663	2309	2558	2339	2883	2583	2499	2217	2407	1480	2299	1928	1583	2250	2521	2587	1202	2411	2184	2598	2427	885	437					
2	"Число бюллетеней, полученных участковыми комиссиями"	82796	370	1590	1220	2120	2360	1190	1390	1900	1320	2130	2160	1830	2040	2080	1830	202	2240	1490	1660	1840	1880	2270	2070	2410	2060	2300	2090	2570	2320	2240	2000	2130	1340	2040	1730	1370	2020	2240	2280	1080	2150	1930	2170	2190	750	204					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	50532	223	989	713	1289	1466	740	755	1051	699	1121	1406	1207	1286	1390	1208	14	1229	858	824	1130	1109	1529	1373	1514	1191	1459	1255	1561	1447	1463	1204	1394	927	1349	1064	754	1247	1320	1463	525	1274	1120	1485	1347	428	132					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	787	22	10	5	42	7	21	24	11	18	17	10	8	8	20	15	64	13	11	10	9	13	11	0	12	14	12	14	25	9	5	16	22	15	22	18	18	4	29	29	40	37	16	13	8	13	27					
6	Число погашенных бюллетеней	31475	125	591	502	789	887	429	611	838	603	992	744	615	746	670	607	124	998	621	826	701	758	730	697	884	855	829	821	984	864	772	780	714	398	669	648	598	769	891	788	515	839	792	672	835	309	45					
7	Число бюллетеней в переносных ящиках для голосования	787	22	10	5	42	7	21	24	11	18	17	10	8	8	20	15	64	13	11	10	9	13	11	0	12	14	12	14	25	9	5	16	22	15	22	18	18	4	29	29	40	37	16	13	8	13	27					
8	Число бюллетеней в стационарных ящиках для голосования	50420	223	989	709	1288	1456	739	754	1050	698	1121	1403	1205	1283	1388	1202	14	1229	858	813	1130	1109	1529	1371	1513	1191	1458	1255	1560	1444	1463	1198	1394	927	1347	1064	754	1243	1314	1455	525	1271	1120	1463	1340	428	132					
9	Число недействительных бюллетеней	941	3	16	30	12	70	23	27	22	17	43	23	23	15	23	16	3	18	16	27	17	17	29	14	16	10	17	12	59	32	16	20	19	15	13	20	10	14	18	22	12	33	36	24	11	6	2					
10	Число действительных бюллетеней	50266	242	983	684	1318	1393	737	751	1039	699	1095	1390	1190	1276	1385	1201	75	1224	853	796	1122	1105	1511	1357	1509	1195	1453	1257	1526	1421	1452	1194	1397	927	1356	1062	762	1233	1325	1462	553	1275	1100	1452	1337	435	157					
