Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																	
Дата голосования: 18.09.2016																																																																	
																																																																	
Наименование Избирательной комиссии:    Алексеевская																																																																	
																																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																																	
																																																																	
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	51462	2350	2132	1885	2445	2325	2524	2575	2505	2096	2568	2634	1922	1429	393	1646	393	197	919	636	493	564	420	796	272	327	446	153	375	1325	1150	1004	93	413	263	202	1020	160	497	416	138	776	216	359	180	361	1075	1062	433	132	122	1008	692	439	506									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	48700	2100	2000	1700	2200	2100	2300	2300	2300	1800	2300	2400	1700	1300	398	1500	396	195	930	630	506	571	426	812	276	334	452	156	385	1325	1160	1010	96	418	274	204	1030	166	504	415	144	800	222	362	188	372	1080	1070	438	133	129	1040	697	448	508									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	37433	1955	1369	1297	1671	1428	2065	2102	1778	1450	1817	1762	1263	1089	235	1134	307	149	768	369	327	252	289	748	157	253	305	118	258	1091	986	809	63	333	208	168	865	130	384	271	107	575	184	290	110	284	913	590	359	90	91	609	573	324	311									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	5013	26	81	151	279	315	47	36	186	287	83	163	167	125	47	68	46	23	126	102	120	166	52	42	101	54	84	32	67	61	26	179	23	67	46	28	84	25	74	111	20	130	18	47	60	52	129	146	53	37	21	123	97	107	173									
6	Число погашенных избирательных бюллетеней	6254	119	550	252	250	357	188	162	336	63	400	475	270	86	116	298	43	23	36	159	59	153	85	22	18	27	63	6	60	173	148	22	10	18	20	8	81	11	46	33	17	95	20	25	18	36	38	334	26	6	17	308	27	17	24									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	5013	26	81	151	279	315	47	36	186	287	83	163	167	125	47	68	46	23	126	102	120	166	52	42	101	54	84	32	67	61	26	179	23	67	46	28	84	25	74	111	20	130	18	47	60	52	129	146	53	37	21	123	97	107	173									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	37432	1955	1369	1297	1671	1428	2064	2102	1778	1450	1817	1762	1263	1089	235	1134	307	149	768	369	327	252	289	748	157	253	305	118	258	1091	986	809	63	333	208	168	865	130	384	271	107	575	184	290	110	284	913	590	359	90	91	609	573	324	311									
9	Число недействительных избирательных бюллетеней	287	15	5	7	1	5	19	0	11	8	14	8	12	3	0	7	1	3	0	7	1	3	1	6	0	0	1	0	0	0	0	0	0	24	0	0	0	0	48	4	0	1	2	6	0	0	9	3	0	4	0	12	2	31	3									
10	Число действительных избирательных бюллетеней	42158	1966	1445	1441	1949	1738	2092	2138	1953	1729	1886	1917	1418	1211	282	1195	352	169	894	464	446	415	340	784	258	307	388	150	325	1152	1012	988	86	376	254	196	949	155	410	378	127	704	200	331	170	336	1033	733	412	123	112	720	668	400	481									
