Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																								
Дата голосования: 07.12.2003 0:00:00																								
																								
Наименование Избирательной комиссии:    Ольхонская																								
																								
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																								
																								
		Сумма	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016					
1	"Число избирателей, внесенных в списки"	5744	68	646	174	54	303	89	145	2394	126	138	206	124	325	38	97	769	48					
2	"Число бюллетеней, полученных участковыми комиссиями"	5676	62	646	173	57	288	84	140	2398	119	134	213	105	315	40	98	756	48					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	3522	48	394	143	35	232	74	63	1394	68	82	148	91	205	23	46	444	32					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	541	7	84	8	9	25	8	52	85	43	22	46	14	31	8	35	56	8					
6	Число погашенных бюллетеней	1613	7	168	22	13	31	2	25	919	8	30	19	0	79	9	17	256	8					
7	Число бюллетеней в переносных ящиках для голосования	541	7	84	8	9	25	8	52	85	43	22	46	14	31	8	35	56	8					
8	Число бюллетеней в стационарных ящиках для голосования	3522	48	394	143	35	232	74	63	1394	68	82	148	91	205	23	46	444	32					
9	Число недействительных бюллетеней	51	2	5	1	0	0	3	2	24	2	4	0	2	0	0	0	4	2					
10	Число действительных бюллетеней	4012	53	473	150	44	257	79	113	1455	109	100	194	103	236	31	81	496	38					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	147	1	21	3	1	5	3	3	77	2	2	4	2	5	1	2	14	1					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	94	0	20	1	0	5	2	0	58	0	1	0	0	2	0	0	5	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	69	8	5	2	4	3	3	5	9	0	4	4	6	4	0	6	5	1					
14	Число погашенных открепительных удостоверений	53	1	1	2	1	0	1	3	19	2	1	4	2	3	1	2	9	1					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																								
18	"1. ""ЕДИНЕНИЕ"""	81	1	15	5	1	7	0	0	27	4	1	3	1	7	0	3	4	2					
		1.99%	1.81%	3.13%	3.31%	2.27%	2.72%	0.0%	0.0%	1.82%	3.60%	0.96%	1.54%	0.95%	2.96%	0.0%	3.70%	0.8%	5.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	68	1	2	0	1	1	0	0	48	4	0	0	1	1	1	2	5	1					
		1.67%	1.81%	0.41%	0.0%	2.27%	0.38%	0.0%	0.0%	3.24%	3.60%	0.0%	0.0%	0.95%	0.42%	3.22%	2.46%	1.0%	2.5%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	44	5	4	0	0	4	0	0	18	0	1	1	0	6	0	0	5	0					
		1.08%	9.09%	0.83%	0.0%	0.0%	1.55%	0.0%	0.0%	1.21%	0.0%	0.96%	0.51%	0.0%	2.54%	0.0%	0.0%	1.0%	0.0%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	45	0	9	2	2	0	2	2	18	0	0	2	2	1	0	2	3	0					
		1.10%	0.0%	1.88%	1.32%	4.54%	0.0%	2.43%	1.73%	1.21%	0.0%	0.0%	1.03%	1.90%	0.42%	0.0%	2.46%	0.6%	0.0%					
22	"5. ""За Русь Святую"""	10	0	0	0	0	0	0	0	3	0	1	0	1	2	0	0	2	1					
		0.24%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.20%	0.0%	0.96%	0.0%	0.95%	0.84%	0.0%	0.0%	0.4%	2.5%					
23	"6. ""Объединенная Российская партия ""Русь"""	4	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0					
		0.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.13%	0.0%	0.96%	0.0%	0.95%	0.0%	0.0%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	10	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	5	0					
		0.24%	0.0%	0.83%	0.0%	0.0%	0.0%	0.0%	0.0%	0.06%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1					
		0.04%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.06%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	2.5%					
26	"9. ""Российская экологическая партия ""Зеленые"""	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0					
		0.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.27%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	110	1	6	11	0	3	0	4	50	7	4	9	2	4	0	4	4	1					
		2.70%	1.81%	1.25%	7.28%	0.0%	1.16%	0.0%	3.47%	3.38%	6.30%	3.84%	4.63%	1.90%	1.69%	0.0%	4.93%	0.8%	2.5%					
28	"11. ""Истинные патриоты России"""	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0					
		0.02%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.06%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	20	0	3	0	0	0	0	0	8	0	2	1	0	1	0	0	5	0					
		0.49%	0.0%	0.62%	0.0%	0.0%	0.0%	0.0%	0.0%	0.54%	0.0%	1.92%	0.51%	0.0%	0.42%	0.0%	0.0%	1.0%	0.0%					
30	"13. ""Демократическая партия России"""	5	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0					
		0.12%	0.0%	0.20%	0.0%	0.0%	0.0%	0.0%	0.0%	0.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.4%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	6	0	0	1	0	0	0	2	1	0	1	0	0	0	0	0	1	0					
		0.14%	0.0%	0.0%	0.66%	0.0%	0.0%	0.0%	1.73%	0.06%	0.0%	0.96%	0.0%	0.0%	0.0%	0.0%	0.0%	0.2%	0.0%					
32	"15. ""Партия СЛОН"""	5	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	1	0					
		0.12%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.20%	0.0%	0.0%	0.0%	0.0%	0.42%	0.0%	0.0%	0.2%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	137	0	14	0	1	9	1	7	74	0	2	1	3	0	0	2	23	0					
		3.37%	0.0%	2.92%	0.0%	2.27%	3.50%	1.21%	6.08%	5.00%	0.0%	1.92%	0.51%	2.85%	0.0%	0.0%	2.46%	4.6%	0.0%					
