Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																															
Дата голосования: 18.09.2016																															
																															
Наименование Избирательной комиссии:    Урайская городская																															
																															
Сводная таблица итогов голосования по федеральному избирательному округу																															
																															
		Сумма	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	31180	1445	1646	1541	1676	1762	2043	1116	1664	1698	1508	1476	1724	1481	1248	1573	1371	1612	1524	1510	1562									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	30500	1350	1600	1500	1650	1750	2000	1100	1650	1650	1500	1450	1700	1450	1200	1600	1350	1550	1450	1450	1550									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	13765	655	671	561	734	674	862	432	753	785	709	713	739	714	613	819	551	747	654	672	707									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	207	31	12	13	10	6	8	6	9	6	7	5	23	12	4	15	6	6	6	12	10									
6	Число погашенных избирательных бюллетеней	16527	664	917	926	906	1070	1130	662	888	859	783	732	938	724	583	766	793	797	790	766	833									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	207	31	12	13	10	6	8	6	9	6	7	5	23	12	4	15	6	6	6	12	10									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	13729	655	671	561	734	672	857	431	753	783	709	713	739	714	613	817	551	745	653	672	686									
9	Число недействительных избирательных бюллетеней	729	33	22	36	36	55	52	29	28	41	44	27	36	42	44	39	32	32	45	27	29									
10	Число действительных избирательных бюллетеней	13207	653	661	538	708	623	813	408	734	748	672	691	726	684	573	793	525	719	614	657	667									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	750	35	40	35	40	40	50	30	40	40	35	35	40	35	30	40	35	40	35	35	40									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	288	9	12	9	10	14	14	5	14	19	24	24	22	16	12	17	7	6	12	19	23									
