Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																						
Дата голосования: 04.12.2011																																																																						
																																																																						
Наименование Избирательной комиссии:    Территориальная избирательная комиссия №4																																																																						
																																																																						
Сводная таблица результатов выборов																																																																						
																																																																						
		Сумма	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751					
1	"Число избирателей, внесенных в список избирателей"	120189	2914	2477	2985	2336	1738	1794	1590	1933	1767	1675	1592	1870	2438	2765	2273	2067	2060	2297	2041	1961	2328	2116	2077	2161	2187	908	2162	1935	2196	2027	2072	2173	2606	2437	2177	1521	2382	2229	1432	1948	1987	1440	1501	1740	2143	1866	1402	1781	2043	1912	1753	1055	1571	1589	1372	1455	2162	2032	1453	1632	1622	895	136					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	88750	2050	1700	2050	1800	1150	1300	1200	1300	1300	1200	1350	1200	1700	1850	1550	1450	1600	1600	1450	1400	1500	1500	1500	1300	1450	550	1500	1400	1600	1500	1500	1500	2050	1800	1650	1100	1700	1600	1100	1500	1500	1150	1150	1300	1600	1350	1100	1400	1500	1500	1300	1400	1150	1200	1200	1100	1600	1450	1100	1200	1200	1300	500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	64026	1386	1225	1362	1208	830	918	890	1085	1048	858	1067	990	805	1238	1289	949	1334	1076	1120	1099	1463	1082	994	1020	1223	473	1312	973	1212	1032	1127	1198	1295	1546	1260	661	1168	1175	737	1007	1139	636	849	972	1129	1052	769	914	1055	966	833	1037	847	922	1008	767	1246	1015	858	919	913	309	136					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	4052	30	19	465	36	146	18	27	19	19	22	25	13	716	432	36	42	38	39	30	31	24	32	12	44	34	6	34	11	22	25	22	25	34	33	27	81	33	30	18	32	49	39	16	38	20	12	21	86	23	31	12	18	103	73	34	34	43	50	40	21	43	464	0					
6	Число погашенных избирательных бюллетеней	20672	634	456	223	556	174	364	283	196	233	320	258	197	179	180	225	459	228	485	300	270	13	386	494	236	193	71	154	416	366	443	351	277	721	221	363	358	499	395	345	461	312	475	285	290	451	286	310	400	422	503	455	345	200	205	158	299	311	385	202	260	244	527	364					
7	Число избирательных бюллетеней в переносных ящиках для голосования	4049	30	19	465	36	146	18	27	19	19	22	25	13	716	432	36	42	38	39	28	31	24	32	12	44	34	6	34	11	22	25	21	25	34	33	27	81	33	30	18	32	49	39	16	38	20	12	21	86	23	31	12	18	103	73	34	34	43	50	40	21	43	464	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	62886	1386	1224	1320	1195	828	915	890	928	971	858	1067	990	805	1238	1075	949	1296	1073	1119	1076	1463	1062	993	1007	1221	471	1276	969	1186	1032	1127	1198	1277	1467	1253	661	1165	1164	729	1005	1087	636	845	970	1129	1051	723	873	1018	960	832	1019	847	916	948	767	1246	1015	825	919	886	309	136					
9	Число недействительных избирательных бюллетеней	1183	31	20	36	69	20	10	17	11	18	12	40	16	4	15	15	19	0	18	20	14	17	20	18	14	17	8	18	18	38	13	22	45	20	37	19	8	14	19	8	19	17	11	11	16	24	15	21	16	18	19	11	8	20	22	12	4	24	66	13	11	15	12	0					
10	Число действительных избирательных бюллетеней	65752	1385	1223	1749	1162	954	923	900	936	972	868	1052	987	1517	1655	1096	972	1334	1094	1127	1093	1470	1074	987	1037	1238	469	1292	962	1170	1044	1126	1178	1291	1463	1261	734	1184	1175	739	1018	1119	664	850	992	1125	1048	723	943	1023	972	833	1029	930	967	970	797	1265	999	852	929	914	761	136					
