Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																											
Дата голосования: 18.09.2016																											
																											
Наименование Избирательной комиссии:    Пыталовская																											
																											
Сводная таблица итогов голосования по федеральному избирательному округу																											
																											
		Сумма	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	9563	1139	1019	1563	921	475	547	225	371	407	353	539	858	379	202	360	205									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	9060	1100	1000	1500	900	450	500	200	350	350	330	480	850	350	200	310	190									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3589	465	432	634	265	180	183	66	100	142	106	209	347	171	89	133	67									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	959	25	8	40	47	38	135	68	66	76	57	93	28	56	69	77	76									
6	Число погашенных избирательных бюллетеней	4512	610	560	826	588	232	182	66	184	132	167	178	475	123	42	100	47									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	959	25	8	40	47	38	135	68	66	76	57	93	28	56	69	77	76									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3588	465	431	634	265	180	183	66	100	142	106	209	347	171	89	133	67									
9	Число недействительных избирательных бюллетеней	92	14	14	8	6	8	6	2	10	0	3	2	10	4	0	4	1									
10	Число действительных избирательных бюллетеней	4455	476	425	666	306	210	312	132	156	218	160	300	365	223	158	206	142									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	221	29	28	29	15	7	7	7	5	7	6	30	24	7	6	7	7									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	100	8	17	13	7	1	3	5	2	1	1	6	24	1	4	3	4									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	107	17	14	13	13	2	6	4	0	5	4	9	4	4	4	4	4									
14	Число погашенных неиспользованных открепительных удостоверений	121	21	11	16	8	6	4	2	3	6	5	24	0	6	2	4	3									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	29	6	5	5	1	0	0	1	1	1	0	7	2	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																											
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	39	0	5	9	2	2	1	0	0	4	0	3	5	3	4	0	1									
		0.86%	0.00%	1.14%	1.34%	0.64%	0.92%	0.31%	0.00%	0.00%	1.83%	0.00%	0.99%	1.33%	1.32%	2.53%	0.00%	0.70%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	104	10	13	18	4	6	8	0	6	2	6	8	11	7	4	1	0									
		2.29%	2.04%	2.96%	2.67%	1.28%	2.75%	2.52%	0.00%	3.61%	0.92%	3.68%	2.65%	2.93%	3.08%	2.53%	0.48%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	72	11	7	10	1	3	6	3	3	1	6	3	3	3	1	11	0									
		1.58%	2.24%	1.59%	1.48%	0.32%	1.38%	1.89%	2.24%	1.81%	0.46%	3.68%	0.99%	0.80%	1.32%	0.63%	5.24%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2223	237	164	337	159	99	155	49	78	139	47	161	170	125	104	112	87									
		48.89%	48.37%	37.36%	50.00%	50.96%	45.41%	48.74%	36.57%	46.99%	63.76%	28.83%	53.31%	45.33%	55.07%	65.82%	53.33%	60.84%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	33	2	8	1	1	1	1	2	1	0	1	7	2	2	3	1	0									
		0.73%	0.41%	1.82%	0.15%	0.32%	0.46%	0.31%	1.49%	0.60%	0.00%	0.61%	2.32%	0.53%	0.88%	1.90%	0.48%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	18	3	2	1	2	2	1	1	0	0	0	3	1	1	0	0	1									
		0.40%	0.61%	0.46%	0.15%	0.64%	0.92%	0.31%	0.75%	0.00%	0.00%	0.00%	0.99%	0.27%	0.44%	0.00%	0.00%	0.70%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	766	83	81	84	67	31	52	38	32	21	39	54	75	40	19	29	21									
		16.85%	16.94%	18.45%	12.46%	21.47%	14.22%	16.35%	28.36%	19.28%	9.63%	23.93%	17.88%	20.00%	17.62%	12.03%	13.81%	14.69%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	21	2	0	3	2	2	0	5	2	0	0	1	0	0	1	0	3									
		0.46%	0.41%	0.00%	0.45%	0.64%	0.92%	0.00%	3.73%	1.20%	0.00%	0.00%	0.33%	0.00%	0.00%	0.63%	0.00%	2.10%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	40	4	11	6	3	1	0	0	2	0	2	5	3	0	1	0	2									
		0.88%	0.82%	2.51%	0.89%	0.96%	0.46%	0.00%	0.00%	1.20%	0.00%	1.23%	1.66%	0.80%	0.00%	0.63%	0.00%	1.40%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	10	1	1	2	0	0	1	0	1	0	0	2	0	2	0	0	0									
		0.22%	0.20%	0.23%	0.30%	0.00%	0.00%	0.31%	0.00%	0.60%	0.00%	0.00%	0.66%	0.00%	0.88%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	140	17	14	29	9	13	5	4	5	5	5	6	11	4	4	8	1									
		3.08%	3.47%	3.19%	4.30%	2.88%	5.96%	1.57%	2.99%	3.01%	2.29%	3.07%	1.99%	2.93%	1.76%	2.53%	3.81%	0.70%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	598	71	83	112	31	25	37	16	10	25	22	33	55	18	14	29	17									
		13.15%	14.49%	18.91%	16.62%	9.94%	11.47%	11.64%	11.94%	6.02%	11.47%	13.50%	10.93%	14.67%	7.93%	8.86%	13.81%	11.89%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	18	3	0	5	1	0	1	0	0	2	0	2	3	0	0	1	0									
		0.40%	0.61%	0.00%	0.74%	0.32%	0.00%	0.31%	0.00%	0.00%	0.92%	0.00%	0.66%	0.80%	0.00%	0.00%	0.48%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	373	32	36	49	24	25	44	14	16	19	32	12	26	18	3	14	9									
		8.20%	6.53%	8.20%	7.27%	7.69%	11.47%	13.84%	10.45%	9.64%	8.72%	19.63%	3.97%	6.93%	7.93%	1.90%	6.67%	6.29%									
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
