Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																								
Дата голосования: 07.12.2003 0:00:00																																																								
																																																								
Наименование Избирательной комиссии:    Туапсинская																																																								
																																																								
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																								
																																																								
		Сумма	УИК №5301	УИК №5302	УИК №5303	УИК №5304	УИК №5305	УИК №5306	УИК №5307	УИК №5308	УИК №5309	УИК №5310	УИК №5311	УИК №5312	УИК №5313	УИК №5314	УИК №5315	УИК №5316	УИК №5317	УИК №5318	УИК №5319	УИК №5320	УИК №5321	УИК №5322	УИК №5323	УИК №5324	УИК №5325	УИК №5326	УИК №5327	УИК №5328	УИК №5329	УИК №5330	УИК №5331	УИК №5332	УИК №5333	УИК №5334	УИК №5335	УИК №5336	УИК №5337	УИК №5338	УИК №5339	УИК №5340	УИК №5341	УИК №5342	УИК №5343	УИК №5344	УИК №5345	УИК №5346	УИК №5347	УИК №5348	УИК №5349					
1	"Число избирателей, внесенных в списки"	46802	557	1532	466	478	1545	2548	776	1592	827	1523	2355	2317	2072	333	188	2072	554	1630	2739	1725	1238	2158	151	272	452	566	90	1088	752	1286	687	863	1163	209	187	107	2237	610	841	290	1055	171	68	172	237	1210	197	489	127					
2	"Число бюллетеней, полученных участковыми комиссиями"	45433	532	1489	462	455	1473	2408	651	1554	802	1510	2208	2256	1997	328	187	1955	520	1612	2590	1680	1233	2103	146	475	435	557	84	1066	728	1217	675	841	1139	196	187	103	2195	601	824	287	1021	165	68	164	231	1204	197	495	127					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	20794	348	752	220	257	596	1162	389	689	403	763	1045	837	869	130	57	862	289	779	1332	759	434	1057	77	259	211	200	68	445	254	502	306	386	481	125	101	63	843	260	320	141	448	80	34	114	137	573	101	167	69					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1172	14	29	16	14	29	46	13	16	9	12	15	44	14	0	7	48	18	28	27	10	18	25	2	13	9	22	3	16	58	146	45	8	8	8	0	4	12	33	75	29	101	16	6	0	0	48	15	43	0					
6	Число погашенных бюллетеней	23467	170	708	226	184	848	1200	249	849	390	735	1148	1375	1114	198	123	1045	213	805	1231	911	781	1021	67	203	215	335	13	605	416	569	324	447	650	63	86	36	1340	308	429	117	472	69	28	50	94	583	81	285	58					
7	Число бюллетеней в переносных ящиках для голосования	1172	14	29	16	14	29	46	13	16	9	12	15	44	14	0	7	48	18	28	27	10	18	25	2	13	9	22	3	16	58	146	45	8	8	8	0	4	12	33	75	29	101	16	6	0	0	48	15	43	0					
8	Число бюллетеней в стационарных ящиках для голосования	20778	348	750	220	254	596	1162	389	689	403	763	1045	832	869	130	57	861	289	779	1328	758	434	1057	77	259	211	200	68	445	254	502	306	386	481	125	101	63	843	260	320	141	448	80	34	114	137	573	101	167	69					
9	Число недействительных бюллетеней	475	2	25	7	7	9	7	7	22	16	8	16	16	33	4	2	7	5	19	18	12	17	25	7	7	3	8	1	13	2	9	3	16	18	5	1	2	13	6	13	1	22	6	1	0	10	17	1	6	0					
10	Число действительных бюллетеней	21475	360	754	229	261	616	1201	395	683	396	767	1044	860	850	126	62	902	302	788	1337	756	435	1057	72	265	217	214	70	448	310	639	348	378	471	128	100	65	842	287	382	169	527	90	39	114	127	604	115	204	69					
